球员,球队,对阵,时间,状态,首发,出场时间,三分球命中,三分球出手,两分球命中,两分球出手,罚球命中,罚球出手,进攻,篮板,助攻,抢断,盖帽,失误,犯规,得分,编号
孙桐林,新疆,吉林,2017-10-28,106:95(已结束),1,39.0,0,0,4,8,0,0,8,14,3,2,0,3,2,8,501177
俞长栋,新疆,吉林,2017-10-28,106:95(已结束),1,34.0,0,1,8,11,4,7,3,7,2,0,0,4,4,20,501179
可兰白克·马坎,新疆,吉林,2017-10-28,106:95(已结束),1,12.0,1,2,0,1,0,0,0,2,0,0,0,1,2,3,600301
阿不都沙拉木,新疆,吉林,2017-10-28,106:95(已结束),1,19.0,1,1,2,3,0,0,2,5,0,3,1,1,1,7,501983
达柳斯·亚当斯,新疆,吉林,2017-10-28,106:95(已结束),1,41.0,6,17,9,16,2,2,0,6,7,4,1,6,1,38,503547
李根,新疆,吉林,2017-10-28,106:95(已结束),0,25.0,2,3,2,5,0,0,1,4,1,1,0,1,3,10,500536
孙鸣阳,新疆,吉林,2017-10-28,106:95(已结束),0,6.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,501403
肖恩.朗,新疆,吉林,2017-10-28,106:95(已结束),0,15.0,0,0,2,5,2,7,2,3,0,1,0,1,3,6,603199
李安,吉林,新疆,2017-10-28,106:95(已结束),1,24.0,0,0,3,4,0,0,2,5,0,2,1,4,5,6,500662
柴长易,吉林,新疆,2017-10-28,106:95(已结束),1,8.0,0,1,0,1,1,2,0,0,2,0,0,0,0,1,501338
崔晋铭,吉林,新疆,2017-10-28,106:95(已结束),1,36.0,0,9,0,4,0,0,0,3,1,2,0,1,0,0,501506
高诗岩,吉林,新疆,2017-10-28,106:95(已结束),1,29.0,0,0,5,8,0,0,2,4,1,2,0,1,2,10,501726
兰德里,吉林,新疆,2017-10-28,106:95(已结束),1,37.0,0,0,13,19,9,9,3,10,1,3,0,4,4,35,603133
蔡李龙,吉林,新疆,2017-10-28,106:95(已结束),0,17.0,4,6,0,0,2,2,0,1,1,1,0,1,1,14,500675
刘天意,吉林,新疆,2017-10-28,106:95(已结束),0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,501540
姚天一,吉林,新疆,2017-10-28,106:95(已结束),0,16.0,0,1,3,3,0,0,0,1,3,2,0,2,3,6,501979
廉明,吉林,新疆,2017-10-28,106:95(已结束),0,7.0,0,1,0,2,0,0,0,2,0,0,0,1,2,0,501171
代怀博,吉林,新疆,2017-10-28,106:95(已结束),0,26.0,2,2,0,8,0,0,2,9,2,0,0,1,3,6,501413
韦弗,吉林,新疆,2017-10-28,106:95(已结束),0,33.0,3,5,3,6,2,2,1,4,2,0,1,3,0,17,603134
孟祥龙,天津,青岛,2017-10-28,117:119(已结束),1,7.0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,500697
李荣培,天津,青岛,2017-10-28,117:119(已结束),1,35.0,3,9,1,5,1,4,2,4,1,2,0,3,5,12,501761
时德帅,天津,青岛,2017-10-28,117:119(已结束),1,14.0,0,1,2,2,0,0,3,4,0,0,0,1,3,4,600289
史仪,天津,青岛,2017-10-28,117:119(已结束),1,13.0,1,3,0,1,0,0,0,0,5,2,0,1,3,3,502748
伊莱·霍尔曼,天津,青岛,2017-10-28,117:119(已结束),1,37.0,0,0,11,15,10,12,5,17,3,1,2,2,5,32,502309
徐磊,天津,青岛,2017-10-28,117:119(已结束),0,17.0,4,6,0,1,0,0,0,1,1,0,0,1,2,12,400017
张智涵,天津,青岛,2017-10-28,117:119(已结束),0,33.0,2,3,2,4,4,4,0,5,1,0,0,2,3,14,500696
杰特,天津,青岛,2017-10-28,117:119(已结束),0,34.0,4,9,5,9,3,3,0,4,5,3,0,4,3,25,600284
韩博林,天津,青岛,2017-10-28,117:119(已结束),0,20.0,0,2,2,5,0,2,2,4,1,1,0,1,0,4,501758
田垒,天津,青岛,2017-10-28,117:119(已结束),0,25.0,3,8,1,1,0,0,1,5,1,1,0,0,5,11,501945
高尚,青岛,天津,2017-10-28,117:119(已结束),1,32.0,0,4,1,7,3,4,5,14,1,2,0,1,4,5,501401
孙杰,青岛,天津,2017-10-28,117:119(已结束),1,36.0,1,6,1,2,0,0,0,1,2,0,0,0,3,5,100213
苏伟,青岛,天津,2017-10-28,117:119(已结束),1,36.0,0,0,3,4,0,3,1,3,0,2,1,2,6,6,101763
王庆明,青岛,天津,2017-10-28,117:119(已结束),1,19.0,0,0,1,3,1,2,4,6,1,1,0,2,5,3,501485
