TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PLUS_MINUS_ON,PLUS_MINUS_OFF,PLUS_MINUS_DIFF,OFF_RATING_ON,OFF_RATING_OFF,OFF_RATING_DIFF,DEF_RATING_ON,DEF_RATING_OFF,DEF_RATING_DIFF,NET_RATING_ON,NET_RATING_OFF,NET_RATING_DIFF
Atlanta Hawks,"Adams, Jaylen",10.0,58,-48.0,45.0,2744.0,-2699.0,10.6,-7.8,18.4,111.2,105.5,5.7,103.8,112.7,-8.9,7.4,-7.2,14.6
Atlanta Hawks,"Anderson, Justin",30.0,58,-28.0,243.0,2546.0,-2303.0,-2.0,-8.1,6.1,101.3,105.4,-4.1,100.5,112.7,-12.2,0.7,-7.3,8.0
Atlanta Hawks,"Bazemore, Kent",44.0,58,-14.0,1122.0,1667.0,-545.0,-9.3,-6.3,-3.0,99.9,107.2,-7.3,108.0,112.5,-4.5,-8.2,-5.4,-2.8
Atlanta Hawks,"Bembry, DeAndre'",58.0,58,0.0,1412.0,1377.0,35.0,-8.0,-7.1,-0.9,102.4,103.8,-1.4,109.1,110.5,-1.4,-6.7,-6.7,0.0
Atlanta Hawks,"Carter, Vince",53.0,58,-5.0,838.0,1951.0,-1113.0,-11.6,-5.8,-5.8,97.0,106.8,-9.8,107.4,112.0,-4.6,-10.4,-5.2,-5.2
Atlanta Hawks,"Collins, John",42.0,58,-16.0,1248.0,1541.0,-293.0,-3.1,-11.1,8.0,109.3,99.8,9.5,111.6,109.2,2.4,-2.3,-9.4,7.1
Atlanta Hawks,"Dedmon, Dewayne",48.0,58,-10.0,1189.0,1600.0,-411.0,-8.8,-6.6,-2.2,103.9,103.9,0.0,111.4,109.3,2.1,-7.4,-5.4,-2.0
Atlanta Hawks,"Dorsey, Tyler",27.0,54,-27.0,251.0,2346.0,-2095.0,1.5,-8.4,9.9,104.2,105.2,-1.0,101.9,112.9,-11.0,2.3,-7.8,10.1
Atlanta Hawks,"Hamilton, Daniel",19.0,54,-35.0,204.0,2393.0,-2189.0,-6.1,-7.5,1.4,100.4,105.5,-5.1,105.5,112.4,-6.9,-5.1,-6.9,1.8
Atlanta Hawks,"Huerter, Kevin",54.0,58,-4.0,1473.0,1316.0,157.0,-3.8,-11.7,7.9,106.9,99.9,7.0,110.2,110.2,0.0,-3.3,-10.3,7.0
Atlanta Hawks,"Len, Alex",54.0,58,-4.0,1031.0,1758.0,-727.0,-5.0,-9.0,4.0,102.5,104.5,-2.0,106.5,112.3,-5.8,-4.0,-7.8,3.8
Atlanta Hawks,"Lin, Jeremy",51.0,56,-5.0,1003.0,1690.0,-687.0,-5.3,-9.0,3.7,102.4,104.5,-2.1,106.6,112.9,-6.3,-4.2,-8.3,4.1
Atlanta Hawks,"Plumlee, Miles",18.0,58,-40.0,173.0,2616.0,-2443.0,-11.9,-7.2,-4.7,100.8,105.6,-4.8,109.6,112.2,-2.6,-8.8,-6.6,-2.2
Atlanta Hawks,"Poythress, Alex",18.0,58,-40.0,243.0,2546.0,-2303.0,-15.8,-6.8,-9.0,98.9,105.7,-6.8,113.2,111.8,1.4,-14.3,-6.1,-8.2
Atlanta Hawks,"Prince, Taurean",37.0,58,-21.0,1021.0,1768.0,-747.0,-12.1,-4.9,-7.2,103.5,104.6,-1.1,115.1,108.6,6.5,-11.6,-4.0,-7.6
Atlanta Hawks,"Spellman, Omari",41.0,58,-17.0,706.0,2083.0,-1377.0,-10.7,-6.5,-4.2,100.2,105.5,-5.3,109.7,111.0,-1.3,-9.5,-5.5,-4.0
Atlanta Hawks,"Young, Trae",58.0,58,0.0,1743.0,1046.0,697.0,-9.5,-4.3,-5.2,104.6,100.2,4.4,113.3,103.2,10.1,-8.7,-3.0,-5.7
Boston Celtics,"Baynes, Aron",34.0,58,-24.0,507.0,2297.0,-1790.0,11.0,5.4,5.6,108.4,111.3,-2.9,97.9,106.0,-8.1,10.5,5.3,5.2
Boston Celtics,"Brown, Jaylen",53.0,58,-5.0,1376.0,1428.0,-52.0,3.8,8.8,-5.0,106.7,112.5,-5.8,103.2,104.4,-1.2,3.5,8.1,-4.6
Boston Celtics,"Dozier, PJ",4.0,58,-54.0,10.0,2794.0,-2784.0,56.8,6.2,50.6,100.0,111.9,-11.9,50.0,105.9,-55.9,50.0,6.0,44.0
Boston Celtics,"Hayward, Gordon",53.0,58,-5.0,1379.0,1425.0,-46.0,5.6,7.1,-1.5,110.2,109.2,1.0,104.3,101.7,2.6,5.9,7.5,-1.6
Boston Celtics,"Horford, Al",48.0,58,-10.0,1370.0,1434.0,-64.0,5.5,7.2,-1.7,111.9,108.7,3.2,106.0,101.2,4.8,5.9,7.5,-1.6
Boston Celtics,"Irving, Kyrie",47.0,58,-11.0,1526.0,1278.0,248.0,9.8,2.3,7.5,113.8,105.0,8.8,104.9,103.2,1.7,8.9,1.8,7.1
Boston Celtics,"Morris, Marcus",53.0,58,-5.0,1466.0,1337.0,129.0,6.2,6.6,-0.4,112.2,106.9,5.3,106.3,100.5,5.8,5.9,6.4,-0.5
Boston Celtics,"Ojeleye, Semi",40.0,58,-18.0,429.0,2375.0,-1946.0,10.1,5.7,4.4,105.3,112.1,-6.8,95.6,106.7,-11.1,9.7,5.4,4.3
Boston Celtics,"Rozier, Terry",57.0,58,-1.0,1326.0,1478.0,-152.0,1.4,10.8,-9.4,104.4,114.7,-10.3,103.1,104.0,-0.9,1.4,10.7,-9.3
Boston Celtics,"Smart, Marcus",57.0,58,-1.0,1540.0,1264.0,276.0,6.6,6.1,0.5,110.8,107.1,3.7,104.5,102.0,2.5,6.3,5.1,1.2
Boston Celtics,"Tatum, Jayson",58.0,58,0.0,1807.0,997.0,810.0,8.8,2.0,6.8,112.0,105.4,6.6,103.2,103.0,0.2,8.8,2.4,6.4
Boston Celtics,"Theis, Daniel",44.0,58,-14.0,669.0,2134.0,-1465.0,10.8,5.0,5.8,110.1,110.9,-0.8,98.3,105.9,-7.6,11.9,5.0,6.9
Boston Celtics,"Wanamaker, Brad",27.0,58,-31.0,250.0,2554.0,-2304.0,5.4,6.5,-1.1,103.1,112.3,-9.2,99.2,105.9,-6.7,3.9,6.4,-2.5
