TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,OFF_RATING_ON,OFF_RATING_OFF,OFF_RATING_DIFF,DEF_RATING_ON,DEF_RATING_OFF,DEF_RATING_DIFF,NET_RATING_ON,NET_RATING_OFF,NET_RATING_DIFF,AST_PCT_ON,AST_PCT_OFF,AST_PCT_DIFF,AST_TO_ON,AST_TO_OFF,AST_TO_DIFF,AST_RATIO_ON,AST_RATIO_OFF,AST_RATIO_DIFF,OREB_PCT_ON,OREB_PCT_OFF,OREB_PCT_DIFF,DREB_PCT_ON,DREB_PCT_OFF,DREB_PCT_DIFF,REB_PCT_ON,REB_PCT_OFF,REB_PCT_DIFF,TM_TOV_PCT_ON,TM_TOV_PCT_OFF,TM_TOV_PCT_DIFF,EFG_PCT_ON,EFG_PCT_OFF,EFG_PCT_DIFF,TS_PCT_ON,TS_PCT_OFF,TS_PCT_DIFF,PACE_ON,PACE_OFF,PACE_DIFF,PIE_ON,PIE_OFF,PIE_DIFF
Atlanta Hawks,"Babbitt, Luke",30.0,40,-10.0,6.0,10,-4.0,24.0,30,-6.0,0.2,0.25,-0.05,516.0,1409.0,-893.0,104.9,103.6,1.3,110.7,107.6,3.1,-5.7,-4.0,-1.7,0.584,0.624,-0.04,1.46,1.55,-0.09,16.9,18.0,-1.1,0.193,0.242,-0.049,0.746,0.737,0.009,0.469,0.483,-0.014,0.151,0.157,-0.006,0.525,0.512,0.013,0.565,0.546,0.019,100.46,99.44,1.02,0.474,0.475,-0.001
Atlanta Hawks,"Bazemore, Kent",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,1133.0,792.0,341.0,104.2,103.6,0.6,108.1,108.9,-0.8,-3.9,-5.3,1.4,0.622,0.601,0.021,1.5,1.57,-0.07,18.1,17.1,1.0,0.219,0.242,-0.023,0.739,0.741,-0.002,0.476,0.483,-0.007,0.162,0.146,0.016,0.526,0.5,0.026,0.559,0.539,0.02,100.03,99.27,0.76,0.48,0.468,0.012
Atlanta Hawks,"Belinelli, Marco",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,940.0,985.0,-45.0,101.9,106.0,-4.1,111.1,105.9,5.2,-9.2,0.1,-9.3,0.599,0.628,-0.029,1.46,1.59,-0.13,17.0,18.4,-1.4,0.238,0.219,0.019,0.723,0.754,-0.031,0.469,0.489,-0.02,0.154,0.156,-0.002,0.5,0.531,-0.031,0.536,0.566,-0.03,99.93,99.51,0.42,0.447,0.502,-0.055
Atlanta Hawks,"Bembry, DeAndre'",18.0,40,-22.0,5.0,10,-5.0,13.0,30,-17.0,0.278,0.25,0.028,311.0,1614.0,-1303.0,102.1,104.3,-2.2,109.1,108.3,0.8,-7.0,-4.0,-3.0,0.635,0.61,0.025,1.45,1.54,-0.09,17.4,17.8,-0.4,0.224,0.23,-0.006,0.733,0.741,-0.008,0.47,0.481,-0.011,0.159,0.154,0.005,0.5,0.518,-0.018,0.546,0.552,-0.006,100.0,99.66,0.34,0.457,0.478,-0.021
Atlanta Hawks,"Brussino, Nicolas",4.0,40,-36.0,0.0,10,-10.0,4.0,30,-26.0,0.0,0.25,-0.25,10.0,1915.0,-1905.0,114.3,103.9,10.4,40.5,108.7,-68.2,73.8,-4.8,78.6,0.4,0.615,-0.215,2.0,1.53,0.47,14.9,17.7,-2.8,0.2,0.229,-0.029,0.923,0.738,0.185,0.722,0.478,0.244,0.091,0.155,-0.064,0.575,0.515,0.06,0.599,0.551,0.048,100.84,99.71,1.13,1.184,0.473,0.711
Atlanta Hawks,"Cavanaugh, Tyler",28.0,32,-4.0,8.0,9,-1.0,20.0,23,-3.0,0.286,0.281,0.005,407.0,1134.0,-727.0,108.6,103.7,4.9,107.8,109.2,-1.4,0.8,-5.5,6.3,0.637,0.621,0.016,1.93,1.43,0.5,18.9,17.9,1.0,0.248,0.235,0.013,0.776,0.726,0.05,0.494,0.481,0.013,0.133,0.167,-0.034,0.529,0.521,0.008,0.559,0.556,0.003,99.33,98.69,0.64,0.493,0.478,0.015
Atlanta Hawks,"Collins, John",34.0,40,-6.0,8.0,10,-2.0,26.0,30,-4.0,0.235,0.25,-0.015,760.0,1165.0,-405.0,101.8,105.4,-3.6,107.9,108.7,-0.8,-6.1,-3.4,-2.7,0.637,0.599,0.038,1.57,1.5,0.07,17.8,17.7,0.1,0.259,0.208,0.051,0.695,0.768,-0.073,0.468,0.486,-0.018,0.153,0.156,-0.003,0.489,0.533,-0.044,0.528,0.566,-0.038,98.52,100.5,-1.98,0.468,0.479,-0.011
Atlanta Hawks,"Dedmon, Dewayne",21.0,40,-19.0,4.0,10,-6.0,17.0,30,-13.0,0.19,0.25,-0.06,507.0,1418.0,-911.0,102.0,104.7,-2.7,109.1,108.2,0.9,-7.1,-3.5,-3.6,0.591,0.622,-0.031,1.38,1.58,-0.2,17.7,17.7,0.0,0.186,0.244,-0.058,0.767,0.729,0.038,0.483,0.478,0.005,0.168,0.15,0.018,0.533,0.509,0.024,0.56,0.548,0.012,99.58,99.77,-0.19,0.457,0.481,-0.024
Atlanta Hawks,"Delaney, Malcolm",32.0,40,-8.0,6.0,10,-4.0,26.0,30,-4.0,0.188,0.25,-0.062,607.0,1318.0,-711.0,102.3,104.7,-2.4,107.6,108.8,-1.2,-5.3,-4.1,-1.2,0.626,0.609,0.017,1.56,1.51,0.05,17.5,17.8,-0.3,0.235,0.226,0.009,0.714,0.751,-0.037,0.467,0.485,-0.018,0.149,0.158,-0.009,0.496,0.524,-0.028,0.537,0.557,-0.02,98.49,100.28,-1.79,0.469,0.477,-0.008
Atlanta Hawks,"Dorsey, Tyler",14.0,40,-26.0,1.0,10,-9.0,13.0,30,-17.0,0.071,0.25,-0.179,91.0,1834.0,-1743.0,101.7,104.1,-2.4,97.4,108.9,-11.5,4.2,-4.8,9.0,0.61,0.614,-0.004,1.38,1.53,-0.15,15.0,17.8,-2.8,0.232,0.229,0.003,0.846,0.734,0.112,0.531,0.477,0.054,0.141,0.156,-0.015,0.463,0.518,-0.055,0.528,0.552,-0.024,95.19,99.94,-4.75,0.545,0.472,0.073
Atlanta Hawks,"Ilyasova, Ersan",29.0,40,-11.0,9.0,10,-1.0,20.0,30,-10.0,0.31,0.25,0.06,745.0,1180.0,-435.0,106.8,102.2,4.6,108.6,108.3,0.3,-1.8,-6.1,4.3,0.619,0.61,0.009,1.67,1.45,0.22,18.3,17.4,0.9,0.239,0.223,0.016,0.731,0.745,-0.014,0.477,0.481,-0.004,0.148,0.159,-0.011,0.523,0.511,0.012,0.559,0.546,0.013,99.47,99.87,-0.4,0.486,0.468,0.018
Atlanta Hawks,"Magette, Josh",8.0,40,-32.0,2.0,10,-8.0,6.0,30,-24.0,0.25,0.25,0.0,64.0,1861.0,-1797.0,95.1,104.3,-9.2,92.2,108.9,-16.7,2.9,-4.7,7.6,0.644,0.613,0.031,1.81,1.52,0.29,17.2,17.7,-0.5,0.175,0.231,-0.056,0.804,0.737,0.067,0.487,0.479,0.008,0.124,0.156,-0.032,0.441,0.518,-0.077,0.499,0.553,-0.054,96.22,99.84,-3.62,0.542,0.473,0.069
Atlanta Hawks,"Muscala, Mike",12.0,40,-28.0,1.0,10,-9.0,11.0,30,-19.0,0.083,0.25,-0.167,227.0,1698.0,-1471.0,94.4,105.3,-10.9,105.5,108.8,-3.3,-11.1,-3.5,-7.6,0.585,0.617,-0.032,1.28,1.56,-0.28,15.2,18.1,-2.9,0.189,0.235,-0.046,0.756,0.737,0.019,0.465,0.481,-0.016,0.153,0.155,-0.002,0.452,0.524,-0.072,0.505,0.557,-0.052,103.74,99.18,4.56,0.439,0.479,-0.04
Atlanta Hawks,"Plumlee, Miles",21.0,40,-19.0,6.0,10,-4.0,15.0,30,-15.0,0.286,0.25,0.036,390.0,1535.0,-1145.0,105.2,103.7,1.5,104.4,109.4,-5.0,0.7,-5.8,6.5,0.633,0.609,0.024,1.41,1.56,-0.15,18.3,17.6,0.7,0.248,0.224,0.024,0.785,0.727,0.058,0.518,0.469,0.049,0.175,0.15,0.025,0.534,0.511,0.023,0.565,0.547,0.018,99.41,99.79,-0.38,0.507,0.466,0.041
Atlanta Hawks,"Prince, Taurean",40.0,40,0.0,10.0,10,0.0,30.0,30,0.0,0.25,0.25,0.0,1243.0,682.0,561.0,105.1,101.9,3.2,108.6,108.0,0.6,-3.5,-6.1,2.6,0.605,0.632,-0.027,1.53,1.53,0.0,18.1,17.1,1.0,0.231,0.225,0.006,0.738,0.742,-0.004,0.484,0.469,0.015,0.159,0.148,0.011,0.529,0.489,0.04,0.559,0.536,0.023,100.38,98.51,1.87,0.479,0.466,0.013
Atlanta Hawks,"Schroder, Dennis",37.0,40,-3.0,10.0,10,0.0,27.0,30,-3.0,0.27,0.25,0.02,1183.0,742.0,441.0,105.7,101.2,4.5,111.9,102.9,9.0,-6.2,-1.7,-4.5,0.604,0.631,-0.027,1.59,1.44,0.15,18.0,17.3,0.7,0.227,0.231,-0.004,0.733,0.749,-0.016,0.474,0.487,-0.013,0.151,0.161,-0.01,0.526,0.497,0.029,0.559,0.538,0.021,99.59,99.92,-0.33,0.465,0.493,-0.028
Atlanta Hawks,"Taylor, Isaiah",32.0,40,-8.0,8.0,10,-2.0,24.0,30,-6.0,0.25,0.25,0.0,489.0,1436.0,-947.0,104.7,103.7,1.0,103.4,110.1,-6.7,1.3,-6.4,7.7,0.633,0.607,0.026,1.46,1.55,-0.09,17.6,17.8,-0.2,0.239,0.226,0.013,0.761,0.732,0.029,0.5,0.472,0.028,0.161,0.153,0.008,0.513,0.516,-0.003,0.556,0.549,0.007,100.13,99.58,0.55,0.509,0.464,0.045
Boston Celtics,"Allen, Kadeem",3.0,43,-40.0,1.0,33,-32.0,2.0,10,-8.0,0.333,0.767,-0.434,8.0,2061.0,-2053.0,93.0,104.9,-11.9,72.1,99.8,-27.7,20.9,5.1,15.8,0.5,0.584,-0.084,1.5,1.58,-0.08,13.5,17.1,-3.6,0.222,0.209,0.013,1.0,0.782,0.218,0.533,0.502,0.031,0.116,0.142,-0.026,0.433,0.518,-0.085,0.465,0.552,-0.087,98.96,97.71,1.25,0.684,0.53,0.154
