TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,FGM_ON,FGM_OFF,FGM_DIFF,FGA_ON,FGA_OFF,FGA_DIFF,FG_PCT_ON,FG_PCT_OFF,FG_PCT_DIFF,FG3M_ON,FG3M_OFF,FG3M_DIFF,FG3A_ON,FG3A_OFF,FG3A_DIFF,FG3_PCT_ON,FG3_PCT_OFF,FG3_PCT_DIFF,FTM_ON,FTM_OFF,FTM_DIFF,FTA_ON,FTA_OFF,FTA_DIFF,FT_PCT_ON,FT_PCT_OFF,FT_PCT_DIFF,OREB_ON,OREB_OFF,OREB_DIFF,DREB_ON,DREB_OFF,DREB_DIFF,REB_ON,REB_OFF,REB_DIFF,AST_ON,AST_OFF,AST_DIFF,TOV_ON,TOV_OFF,TOV_DIFF,STL_ON,STL_OFF,STL_DIFF,BLK_ON,BLK_OFF,BLK_DIFF,BLKA_ON,BLKA_OFF,BLKA_DIFF,PF_ON,PF_OFF,PF_DIFF,PFD_ON,PFD_OFF,PFD_DIFF,PTS_ON,PTS_OFF,PTS_DIFF,PLUS_MINUS_ON,PLUS_MINUS_OFF,PLUS_MINUS_DIFF
Atlanta Hawks,"Babbitt, Luke",30.0,41,-11.0,6.0,11,-5.0,24.0,30,-6.0,0.2,0.268,-0.068,17.2,35.5,-18.3,13.7,28.5,-14.8,30.3,63.0,-32.7,0.453,0.453,0.0,4.4,7.7,-3.3,11.1,20.8,-9.7,0.392,0.37,0.022,6.3,11.4,-5.1,7.9,14.5,-6.6,0.802,0.782,0.02,2.9,7.6,-4.7,11.1,22.6,-11.5,14.0,30.2,-16.2,8.0,17.8,-9.8,5.5,11.5,-6.0,3.0,6.2,-3.2,1.3,3.2,-1.9,1.9,4.0,-2.1,6.5,15.0,-8.5,7.9,15.2,-7.3,38.1,76.1,-38.0,-1.5,-3.2,1.7
Atlanta Hawks,"Bazemore, Kent",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,28.3,19.8,8.5,22.8,15.7,7.1,49.7,35.4,14.3,0.459,0.444,0.015,6.7,4.2,2.5,16.9,12.0,4.9,0.395,0.35,0.045,8.9,7.1,1.8,11.3,9.0,2.3,0.786,0.789,-0.003,5.5,4.3,1.2,18.3,12.5,5.8,23.8,16.8,7.0,14.2,9.5,4.7,9.5,6.0,3.5,5.3,3.2,2.1,2.5,1.7,0.8,3.1,2.2,0.9,11.8,8.0,3.8,12.5,8.4,4.1,61.2,42.8,18.4,-2.8,-1.5,-1.3
Atlanta Hawks,"Belinelli, Marco",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,23.3,24.8,-1.5,18.6,19.9,-1.3,42.4,42.8,-0.4,0.439,0.466,-0.027,5.2,5.6,-0.4,14.7,14.2,0.5,0.356,0.398,-0.042,7.7,8.3,-0.6,9.8,10.5,-0.7,0.782,0.793,-0.011,5.1,4.7,0.4,14.2,16.6,-2.4,19.3,21.2,-1.9,11.2,12.5,-1.3,7.6,7.9,-0.3,3.9,4.5,-0.6,2.0,2.2,-0.2,2.7,2.6,0.1,10.0,9.8,0.2,9.8,11.2,-1.4,50.1,53.8,-3.7,-3.2,-1.1,-2.1
Atlanta Hawks,"Bembry, DeAndre'",18.0,41,-23.0,5.0,11,-6.0,13.0,30,-17.0,0.278,0.268,0.01,17.3,40.5,-23.2,12.8,32.9,-20.1,29.2,72.3,-43.1,0.437,0.455,-0.018,3.7,9.3,-5.6,10.3,24.4,-14.1,0.357,0.38,-0.023,6.7,13.0,-6.3,8.4,16.6,-8.2,0.801,0.784,0.017,3.3,8.3,-5.0,10.2,26.3,-16.1,13.6,34.6,-21.0,8.1,20.1,-12.0,5.6,13.0,-7.4,3.1,7.1,-4.0,1.6,3.5,-1.9,1.5,4.7,-3.2,6.9,16.8,-9.9,7.9,17.5,-9.6,35.9,88.2,-52.3,-4.3,-2.4,-1.9
Atlanta Hawks,"Brussino, Nicolas",4.0,41,-37.0,0.0,11,-11.0,4.0,30,-26.0,0.0,0.268,-0.268,2.5,47.9,-45.4,2.5,38.3,-35.8,5.0,84.6,-79.6,0.5,0.452,0.048,0.8,10.8,-10.0,2.3,28.7,-26.4,0.333,0.377,-0.044,0.5,16.0,-15.5,0.5,20.3,-19.8,1.0,0.787,0.213,0.3,9.7,-9.4,3.0,30.5,-27.5,3.3,40.2,-36.9,1.0,23.6,-22.6,0.5,15.4,-14.9,0.3,8.4,-8.1,0.3,4.1,-3.8,0.0,5.3,-5.3,0.5,19.7,-19.2,0.8,20.9,-20.1,6.3,103.3,-97.0,4.3,-4.7,9.0
Atlanta Hawks,"Cavanaugh, Tyler",29.0,33,-4.0,9.0,10,-1.0,20.0,23,-3.0,0.31,0.303,0.007,14.1,35.8,-21.7,11.8,28.4,-16.6,25.8,61.7,-35.9,0.457,0.46,-0.003,3.8,7.8,-4.0,9.9,20.5,-10.6,0.381,0.379,0.002,4.4,11.9,-7.5,5.8,15.3,-9.5,0.756,0.782,-0.026,3.1,7.2,-4.1,8.4,22.8,-14.4,11.5,29.9,-18.4,7.5,17.6,-10.1,3.9,12.3,-8.4,2.8,5.9,-3.1,0.9,3.3,-2.4,1.4,4.3,-2.9,6.2,13.6,-7.4,6.1,15.8,-9.7,31.7,76.5,-44.8,0.5,-3.7,4.2
Atlanta Hawks,"Collins, John",35.0,41,-6.0,9.0,11,-2.0,26.0,30,-4.0,0.257,0.268,-0.011,22.2,29.2,-7.0,17.3,23.8,-6.5,39.6,51.3,-11.7,0.436,0.464,-0.028,4.3,7.2,-2.9,12.8,18.0,-5.2,0.333,0.402,-0.069,7.6,9.5,-1.9,9.6,12.1,-2.5,0.789,0.786,0.003,5.2,5.3,-0.1,13.2,19.5,-6.3,18.5,24.8,-6.3,11.1,14.2,-3.1,7.0,9.5,-2.5,4.5,4.7,-0.2,2.0,2.4,-0.4,2.8,3.0,-0.2,9.0,12.1,-3.1,9.5,12.8,-3.3,46.4,64.4,-18.0,-2.7,-2.0,-0.7
Atlanta Hawks,"Dedmon, Dewayne",22.0,41,-19.0,5.0,11,-6.0,17.0,30,-13.0,0.227,0.268,-0.041,23.9,35.3,-11.4,19.5,28.1,-8.6,41.6,62.8,-21.2,0.469,0.447,0.022,5.6,7.9,-2.3,13.6,21.6,-8.0,0.415,0.363,0.052,6.2,12.7,-6.5,7.8,16.1,-8.3,0.801,0.784,0.017,3.8,7.7,-3.9,16.6,21.9,-5.3,20.4,29.6,-9.2,11.5,17.5,-6.0,8.2,11.1,-2.9,3.9,6.4,-2.5,2.1,3.0,-0.9,2.2,4.1,-1.9,10.9,13.9,-3.0,9.1,16.0,-6.9,50.9,76.7,-25.8,-2.9,-2.8,-0.1
Atlanta Hawks,"Delaney, Malcolm",33.0,41,-8.0,7.0,11,-4.0,26.0,30,-4.0,0.212,0.268,-0.056,19.0,32.8,-13.8,14.6,26.8,-12.2,33.1,58.5,-25.4,0.441,0.458,-0.017,3.9,7.8,-3.9,11.2,19.9,-8.7,0.345,0.391,-0.046,6.9,10.4,-3.5,8.8,13.2,-4.4,0.784,0.79,-0.006,3.9,6.6,-2.7,11.5,21.5,-10.0,15.4,28.1,-12.7,9.2,16.3,-7.1,5.8,10.8,-5.0,3.2,5.9,-2.7,1.3,3.1,-1.8,2.0,3.8,-1.8,8.6,12.8,-4.2,8.6,14.0,-5.4,39.9,71.8,-31.9,-1.8,-2.8,1.0
Atlanta Hawks,"Dorsey, Tyler",15.0,41,-26.0,2.0,11,-9.0,13.0,30,-17.0,0.133,0.268,-0.135,6.8,45.6,-38.8,4.5,36.9,-32.4,11.0,81.1,-70.1,0.412,0.455,-0.043,1.5,10.3,-8.8,4.1,27.4,-23.3,0.371,0.377,-0.006,3.4,14.8,-11.4,4.5,18.7,-14.2,0.75,0.791,-0.041,1.3,9.3,-8.0,5.2,28.9,-23.7,6.5,38.1,-31.6,2.9,22.6,-19.7,1.9,14.8,-12.9,0.7,8.2,-7.5,0.7,3.9,-3.2,0.7,5.1,-4.4,1.9,19.1,-17.2,3.5,19.7,-16.2,14.0,98.8,-84.8,1.9,-5.0,6.9
