TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,W_ON,W_OFF,W_DIFF,L_ON,L_OFF,L_DIFF,W_PCT_ON,W_PCT_OFF,W_PCT_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PCT_FGA_2PT_ON,PCT_FGA_2PT_OFF,PCT_FGA_2PT_DIFF,PCT_FGA_3PT_ON,PCT_FGA_3PT_OFF,PCT_FGA_3PT_DIFF,PCT_PTS_2PT_ON,PCT_PTS_2PT_OFF,PCT_PTS_2PT_DIFF,PCT_PTS_2PT_MR_ON,PCT_PTS_2PT_MR_OFF,PCT_PTS_2PT_MR_DIFF,PCT_PTS_3PT_ON,PCT_PTS_3PT_OFF,PCT_PTS_3PT_DIFF,PCT_PTS_FB_ON,PCT_PTS_FB_OFF,PCT_PTS_FB_DIFF,PCT_PTS_FT_ON,PCT_PTS_FT_OFF,PCT_PTS_FT_DIFF,PCT_PTS_OFF_TOV_ON,PCT_PTS_OFF_TOV_OFF,PCT_PTS_OFF_TOV_DIFF,PCT_PTS_PAINT_ON,PCT_PTS_PAINT_OFF,PCT_PTS_PAINT_DIFF,PCT_AST_2PM_ON,PCT_AST_2PM_OFF,PCT_AST_2PM_DIFF,PCT_UAST_2PM_ON,PCT_UAST_2PM_OFF,PCT_UAST_2PM_DIFF,PCT_AST_3PM_ON,PCT_AST_3PM_OFF,PCT_AST_3PM_DIFF,PCT_UAST_3PM_ON,PCT_UAST_3PM_OFF,PCT_UAST_3PM_DIFF,PCT_AST_FGM_ON,PCT_AST_FGM_OFF,PCT_AST_FGM_DIFF,PCT_UAST_FGM_ON,PCT_UAST_FGM_OFF,PCT_UAST_FGM_DIFF
Atlanta Hawks,"Babbitt, Luke",30.0,41,-11.0,6.0,11,-5.0,24.0,30,-6.0,0.2,0.268,-0.068,17.2,35.5,-18.3,0.632,0.67,-0.038,0.368,0.33,0.038,0.49,0.548,-0.058,0.115,0.144,-0.029,0.344,0.303,0.041,0.087,0.099,-0.012,0.166,0.149,0.017,0.173,0.183,-0.01,0.374,0.403,-0.029,0.454,0.53,-0.076,0.546,0.47,0.076,0.863,0.879,-0.016,0.137,0.121,0.016,0.584,0.624,-0.04,0.416,0.376,0.04
Atlanta Hawks,"Bazemore, Kent",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,28.3,19.8,8.5,0.66,0.661,-0.001,0.34,0.339,0.001,0.527,0.539,-0.012,0.126,0.152,-0.026,0.328,0.294,0.034,0.113,0.071,0.042,0.145,0.166,-0.021,0.176,0.186,-0.01,0.401,0.388,0.013,0.507,0.518,-0.011,0.493,0.482,0.011,0.898,0.837,0.061,0.102,0.163,-0.061,0.621,0.603,0.018,0.379,0.397,-0.018
Atlanta Hawks,"Belinelli, Marco",41.0,41,0.0,11.0,11,0.0,30.0,30,0.0,0.268,0.268,0.0,23.3,24.8,-1.5,0.652,0.669,-0.017,0.348,0.331,0.017,0.533,0.531,0.002,0.145,0.129,0.016,0.314,0.314,0.0,0.079,0.112,-0.033,0.153,0.155,-0.002,0.19,0.171,0.019,0.388,0.403,-0.015,0.505,0.517,-0.012,0.495,0.483,0.012,0.842,0.905,-0.063,0.158,0.095,0.063,0.6,0.627,-0.027,0.4,0.373,0.027
Atlanta Hawks,"Bembry, DeAndre'",18.0,41,-23.0,5.0,11,-6.0,13.0,30,-17.0,0.278,0.268,0.01,17.3,40.5,-23.2,0.648,0.663,-0.015,0.352,0.337,0.015,0.507,0.537,-0.03,0.117,0.14,-0.023,0.306,0.315,-0.009,0.091,0.097,-0.006,0.187,0.148,0.039,0.181,0.18,0.001,0.389,0.397,-0.008,0.555,0.504,0.051,0.445,0.496,-0.051,0.833,0.882,-0.049,0.167,0.118,0.049,0.635,0.61,0.025,0.365,0.39,-0.025
Atlanta Hawks,"Brussino, Nicolas",4.0,41,-37.0,0.0,11,-11.0,4.0,30,-26.0,0.0,0.268,-0.268,2.5,47.9,-45.4,0.55,0.661,-0.111,0.45,0.339,0.111,0.56,0.532,0.028,0.24,0.136,0.104,0.36,0.314,0.046,0.0,0.096,-0.096,0.08,0.154,-0.074,0.08,0.181,-0.101,0.32,0.396,-0.076,0.286,0.513,-0.227,0.714,0.487,0.227,0.667,0.876,-0.209,0.333,0.124,0.209,0.4,0.615,-0.215,0.6,0.385,0.215
Atlanta Hawks,"Cavanaugh, Tyler",29.0,33,-4.0,9.0,10,-1.0,20.0,23,-3.0,0.31,0.303,0.007,14.1,35.8,-21.7,0.618,0.667,-0.049,0.382,0.333,0.049,0.507,0.539,-0.032,0.139,0.13,0.009,0.355,0.305,0.05,0.086,0.105,-0.019,0.138,0.156,-0.018,0.167,0.184,-0.017,0.367,0.409,-0.042,0.524,0.525,-0.001,0.476,0.475,0.001,0.881,0.875,0.006,0.119,0.125,-0.006,0.637,0.621,0.016,0.363,0.379,-0.016
Atlanta Hawks,"Collins, John",35.0,41,-6.0,9.0,11,-2.0,26.0,30,-4.0,0.257,0.268,-0.011,22.2,29.2,-7.0,0.677,0.649,0.028,0.323,0.351,-0.028,0.561,0.515,0.046,0.127,0.142,-0.015,0.275,0.338,-0.063,0.102,0.092,0.01,0.164,0.148,0.016,0.203,0.166,0.037,0.434,0.372,0.062,0.565,0.476,0.089,0.435,0.524,-0.089,0.872,0.875,-0.003,0.128,0.125,0.003,0.641,0.597,0.044,0.359,0.403,-0.044
Atlanta Hawks,"Dedmon, Dewayne",22.0,41,-19.0,5.0,11,-6.0,17.0,30,-13.0,0.227,0.268,-0.041,23.9,35.3,-11.4,0.673,0.656,0.017,0.327,0.344,-0.017,0.545,0.528,0.017,0.159,0.129,0.03,0.332,0.307,0.025,0.088,0.098,-0.01,0.122,0.165,-0.043,0.188,0.178,0.01,0.386,0.399,-0.013,0.475,0.525,-0.05,0.525,0.475,0.05,0.879,0.873,0.006,0.121,0.127,-0.006,0.592,0.622,-0.03,0.408,0.378,0.03
Atlanta Hawks,"Delaney, Malcolm",33.0,41,-8.0,7.0,11,-4.0,26.0,30,-4.0,0.212,0.268,-0.056,19.0,32.8,-13.8,0.66,0.661,-0.001,0.34,0.339,0.001,0.536,0.531,0.005,0.159,0.126,0.033,0.291,0.324,-0.033,0.081,0.102,-0.021,0.173,0.145,0.028,0.193,0.175,0.018,0.376,0.404,-0.028,0.552,0.493,0.059,0.448,0.507,-0.059,0.844,0.887,-0.043,0.156,0.113,0.043,0.63,0.607,0.023,0.37,0.393,-0.023
Atlanta Hawks,"Dorsey, Tyler",15.0,41,-26.0,2.0,11,-9.0,13.0,30,-17.0,0.133,0.268,-0.135,6.8,45.6,-38.8,0.624,0.662,-0.038,0.376,0.338,0.038,0.429,0.538,-0.109,0.114,0.138,-0.024,0.329,0.313,0.016,0.105,0.095,0.01,0.243,0.149,0.094,0.11,0.184,-0.074,0.314,0.4,-0.086,0.489,0.512,-0.023,0.511,0.488,0.023,0.913,0.872,0.041,0.087,0.128,-0.041,0.632,0.613,0.019,0.368,0.387,-0.019
