AST_ON_MADE,AST_ON_RECEIVED,FG2A_ON_MADE,FG2A_ON_RECEIVED,FG2M_ON_MADE,FG2M_ON_RECEIVED,FG2_PCT_ON_MADE,FG2_PCT_ON_RECEIVED,FG3A_ON_MADE,FG3A_ON_RECEIVED,FG3M_ON_MADE,FG3M_ON_RECEIVED,FG3_PCT_ON_MADE,FG3_PCT_ON_RECEIVED,FGA_ON_MADE,FGA_ON_RECEIVED,FGM_ON_MADE,FGM_ON_RECEIVED,FG_PCT_ON_MADE,FG_PCT_ON_RECEIVED,FREQUENCY_ON_MADE,FREQUENCY_ON_RECEIVED,G_ON_MADE,G_ON_RECEIVED,PASS_ON_MADE,PASS_ON_RECEIVED,PLAYER_NAME,TEAM_NAME
8.0,0.0,18.0,3.0,6.0,2.0,0.333,0.667,6.0,4.0,2.0,0.0,0.333,0.0,24.0,7.0,8.0,2.0,0.333,0.286,0.178,0.182,1,1,46.0,47.0,"Smart, Marcus",Boston Celtics
2.0,4.0,7.0,12.0,3.0,2.0,0.429,0.167,2.0,8.0,0.0,4.0,0.0,0.5,9.0,20.0,3.0,6.0,0.333,0.3,0.174,0.128,1,1,45.0,33.0,"Tatum, Jayson",Boston Celtics
2.0,1.0,16.0,13.0,2.0,3.0,0.125,0.231,3.0,6.0,0.0,1.0,0.0,0.167,19.0,19.0,2.0,4.0,0.105,0.211,0.163,0.256,1,1,42.0,66.0,"Walker, Kemba",Boston Celtics
0.0,2.0,3.0,4.0,1.0,1.0,0.333,0.25,3.0,2.0,0.0,1.0,0.0,0.5,6.0,6.0,1.0,2.0,0.167,0.333,0.089,0.07,1,1,23.0,18.0,"Brown, Jaylen",Boston Celtics
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.031,0.035,1,1,8.0,9.0,"Theis, Daniel",Boston Celtics
3.0,1.0,9.0,9.0,4.0,4.0,0.444,0.444,4.0,1.0,1.0,0.0,0.25,0.0,13.0,10.0,5.0,4.0,0.385,0.4,0.171,0.115,1,1,55.0,37.0,"Love, Kevin",Cleveland Cavaliers
5.0,2.0,6.0,5.0,3.0,1.0,0.5,0.2,7.0,4.0,3.0,2.0,0.429,0.5,13.0,9.0,6.0,3.0,0.462,0.333,0.152,0.174,1,1,49.0,56.0,"Garland, Darius",Cleveland Cavaliers
2.0,4.0,6.0,5.0,1.0,3.0,0.167,0.6,5.0,5.0,1.0,1.0,0.2,0.2,11.0,10.0,2.0,4.0,0.182,0.4,0.13,0.112,1,1,42.0,36.0,"Nance Jr., Larry",Cleveland Cavaliers
3.0,0.0,10.0,3.0,4.0,2.0,0.4,0.667,4.0,4.0,1.0,0.0,0.25,0.0,14.0,7.0,5.0,2.0,0.357,0.286,0.124,0.14,1,1,40.0,45.0,"Dellavedova, Matthew",Cleveland Cavaliers
2.0,3.0,4.0,9.0,1.0,2.0,0.25,0.222,4.0,8.0,2.0,3.0,0.5,0.375,8.0,17.0,3.0,5.0,0.375,0.294,0.115,0.161,1,1,37.0,52.0,"Sexton, Collin",Cleveland Cavaliers
2.0,4.0,8.0,3.0,4.0,2.0,0.5,0.667,1.0,6.0,1.0,3.0,1.0,0.5,9.0,9.0,5.0,5.0,0.556,0.556,0.075,0.078,1,1,24.0,25.0,"Osman, Cedi",Cleveland Cavaliers
0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.167,2.0,5.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,0.0,0.091,0.047,0.065,1,1,15.0,21.0,"Clarkson, Jordan",Cleveland Cavaliers
2.0,0.0,3.0,5.0,2.0,0.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.5,0.0,0.04,0.037,1,1,13.0,12.0,"Porter Jr., Kevin",Cleveland Cavaliers
7.0,1.0,11.0,8.0,4.0,5.0,0.364,0.625,10.0,6.0,4.0,1.0,0.4,0.167,21.0,14.0,8.0,6.0,0.381,0.429,0.201,0.225,1,1,77.0,86.0,"Holiday, Jrue",New Orleans Pelicans
5.0,5.0,4.0,13.0,2.0,5.0,0.5,0.385,6.0,5.0,4.0,2.0,0.667,0.4,10.0,18.0,6.0,7.0,0.6,0.389,0.12,0.115,1,1,46.0,44.0,"Ingram, Brandon",New Orleans Pelicans
4.0,2.0,7.0,4.0,3.0,0.0,0.429,0.0,3.0,3.0,2.0,2.0,0.667,0.667,10.0,7.0,5.0,2.0,0.5,0.286,0.11,0.102,1,1,42.0,39.0,"Ball, Lonzo",New Orleans Pelicans
2.0,4.0,4.0,1.0,1.0,1.0,0.25,1.0,5.0,5.0,4.0,4.0,0.8,0.8,9.0,6.0,5.0,5.0,0.556,0.833,0.089,0.084,1,1,34.0,32.0,"Melli, Nicolo",New Orleans Pelicans
2.0,1.0,4.0,3.0,2.0,0.0,0.5,0.0,2.0,6.0,0.0,1.0,0.0,0.167,6.0,9.0,2.0,1.0,0.333,0.111,0.073,0.078,1,1,28.0,30.0,"Alexander-Walker, Nickeil",New Orleans Pelicans
1.0,3.0,2.0,4.0,1.0,1.0,0.5,0.25,5.0,5.0,1.0,3.0,0.2,0.6,7.0,9.0,2.0,4.0,0.286,0.444,0.07,0.07,1,1,27.0,27.0,"Hart, Josh",New Orleans Pelicans
1.0,6.0,3.0,3.0,2.0,2.0,0.667,0.667,4.0,6.0,1.0,4.0,0.25,0.667,7.0,9.0,3.0,6.0,0.429,0.667,0.044,0.073,1,1,17.0,28.0,"Redick, JJ",New Orleans Pelicans
2.0,1.0,3.0,3.0,2.0,1.0,0.667,0.333,1.0,3.0,0.0,1.0,0.0,0.333,4.0,6.0,2.0,2.0,0.5,0.333,0.042,0.05,1,1,16.0,19.0,"Moore, E'Twaun",New Orleans Pelicans
7.0,2.0,13.0,12.0,6.0,5.0,0.462,0.417,7.0,4.0,2.0,1.0,0.286,0.25,20.0,16.0,8.0,6.0,0.4,0.375,0.139,0.165,1,1,38.0,45.0,"LaVine, Zach",Chicago Bulls
2.0,0.0,7.0,2.0,2.0,2.0,0.286,1.0,5.0,2.0,2.0,0.0,0.4,0.0,12.0,4.0,4.0,2.0,0.333,0.5,0.128,0.106,1,1,35.0,29.0,"Dunn, Kris",Chicago Bulls
2.0,5.0,7.0,5.0,3.0,4.0,0.429,0.8,3.0,5.0,0.0,3.0,0.0,0.6,10.0,10.0,3.0,7.0,0.3,0.7,0.128,0.106,1,1,35.0,29.0,"Young, Thaddeus",Chicago Bulls
