PLAYER_ID,NAME,TEAM,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK
203518,"Abrines, Alex",OKC,Location,Home,35,23,12,0.657,508.808333333,55,127,0.433,41,95,0.432,22,25,0.88,14,42,56,13,13,15,3,5,61,22,173,72,0,0,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1
203518,"Abrines, Alex",OKC,Location,Road,34,16,18,0.471,520.516666667,52,141,0.369,37,105,0.352,12,14,0.857,10,40,50,14,12,21,5,4,52,25,153,-59,0,0,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1
203518,"Abrines, Alex",OKC,Wins/Losses,Wins,39,39,0,1.0,596.72,72,160,0.45,57,122,0.467,13,17,0.765,15,57,72,11,21,25,3,5,65,23,214,66,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1
203518,"Abrines, Alex",OKC,Wins/Losses,Losses,30,0,30,0.0,432.605,35,108,0.324,21,78,0.269,21,22,0.955,9,25,34,16,4,11,5,4,48,24,112,-53,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1
203518,"Abrines, Alex",OKC,Month,October,7,4,3,0.571,134.866666667,11,31,0.355,6,18,0.333,2,2,1.0,3,9,12,4,5,7,0,1,20,6,30,65,0,0,6,5,1,4,4,5,5,6,6,6,5,5,5,1,5,4,4,4,2,3,5,2,4,4,6,1,5,1,1
203518,"Abrines, Alex",OKC,Month,November,12,4,8,0.333,154.086666667,15,39,0.385,9,29,0.31,7,9,0.778,4,11,15,3,2,3,1,1,13,9,46,11,0,0,2,5,6,6,3,4,3,3,4,3,6,4,2,5,4,3,3,5,4,5,3,2,2,2,4,4,4,1,1
203518,"Abrines, Alex",OKC,Month,December,16,11,5,0.688,275.583333333,26,64,0.406,21,47,0.447,8,10,0.8,5,28,33,6,11,10,1,3,34,9,81,-71,0,0,1,1,4,1,1,2,2,2,1,2,2,2,1,4,1,1,1,2,1,1,3,5,6,2,2,6,2,1,1
203518,"Abrines, Alex",OKC,Month,January,10,6,4,0.6,83.3416666667,10,27,0.37,7,20,0.35,9,9,1.0,5,6,11,2,1,3,0,1,7,6,36,20,0,0,5,3,2,3,6,6,6,5,5,5,3,1,2,1,1,6,5,6,5,5,5,2,1,4,5,2,6,1,1
203518,"Abrines, Alex",OKC,Month,February,12,6,6,0.5,267.558333333,28,75,0.373,20,59,0.339,8,9,0.889,5,21,26,7,5,8,4,3,26,13,84,-26,0,0,2,3,5,5,2,1,1,4,2,1,4,2,2,3,1,2,2,1,2,2,1,5,5,1,1,5,1,1,1
203518,"Abrines, Alex",OKC,Month,March,12,8,4,0.667,113.888333333,17,32,0.531,15,27,0.556,0,0,0.0,2,7,9,5,1,5,2,0,13,4,49,14,0,0,2,2,2,2,5,3,4,1,3,4,1,6,6,6,6,5,6,3,5,4,2,1,2,6,3,3,3,1,1
203518,"Abrines, Alex",OKC,Pre/Post All-Star,Pre All-Star,53,28,25,0.528,847.125,83,215,0.386,58,156,0.372,32,37,0.865,20,71,91,20,22,28,5,7,95,40,256,21,0,0,1,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
203518,"Abrines, Alex",OKC,Pre/Post All-Star,Post All-Star,16,11,5,0.688,182.2,24,53,0.453,20,44,0.455,2,2,1.0,4,11,15,7,3,8,3,2,18,7,70,-8,0,0,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1
203518,"Abrines, Alex",OKC,Starting Position,Starters,8,4,4,0.5,207.716666667,22,54,0.407,17,37,0.459,6,7,0.857,5,18,23,4,6,5,1,2,22,8,67,-48,0,0,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1
203518,"Abrines, Alex",OKC,Starting Position,Bench,61,35,26,0.574,821.608333333,85,214,0.397,61,163,0.374,28,32,0.875,19,64,83,23,19,31,7,7,91,39,259,61,0,0,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
203518,"Abrines, Alex",OKC,Days Rest,0 Days Rest,12,6,6,0.5,151.135,14,37,0.378,10,30,0.333,5,6,0.833,2,14,16,3,1,8,1,1,17,7,43,-13,0,0,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,4,2,2,2,2,3,3,3,3,1,1
203518,"Abrines, Alex",OKC,Days Rest,1 Days Rest,41,21,20,0.512,656.948333333,67,164,0.409,49,123,0.398,25,27,0.926,15,48,63,19,17,21,6,5,71,30,208,-39,0,0,1,1,4,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,1
203518,"Abrines, Alex",OKC,Days Rest,2 Days Rest,11,8,3,0.727,166.063333333,21,52,0.404,15,33,0.455,4,5,0.8,6,13,19,4,3,4,1,3,19,8,61,42,0,0,3,2,2,2,2,2,2,2,2,2,1,3,3,3,2,3,2,2,3,3,2,3,3,2,2,1,2,1,1
203518,"Abrines, Alex",OKC,Days Rest,6+ Days Rest,5,4,1,0.8,55.1783333333,5,15,0.333,4,14,0.286,0,1,0.0,1,7,8,1,4,3,0,0,6,2,14,23,0,0,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,1,4,4,2,4,1,1
203112,"Acy, Quincy",BKN,Location,Home,34,14,20,0.412,687.663333333,54,170,0.318,46,137,0.336,20,25,0.8,23,89,112,32,32,17,20,9,73,38,174,-34,0,0,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1
203112,"Acy, Quincy",BKN,Location,Road,29,8,21,0.276,541.663333333,56,153,0.366,40,120,0.333,26,31,0.839,15,111,126,20,26,12,5,3,61,39,178,-29,0,0,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1
203112,"Acy, Quincy",BKN,Wins/Losses,Wins,22,22,0,1.0,416.6,31,96,0.323,29,81,0.358,12,14,0.857,8,72,80,17,16,8,9,2,43,31,103,53,0,0,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1
203112,"Acy, Quincy",BKN,Wins/Losses,Losses,41,0,41,0.0,812.726666667,79,227,0.348,57,176,0.324,34,42,0.81,30,128,158,35,42,21,16,10,91,46,249,-116,0,0,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1
203112,"Acy, Quincy",BKN,Month,October,6,3,3,0.5,89.1383333333,12,23,0.522,11,21,0.524,0,0,0.0,2,18,20,1,9,2,0,0,15,2,35,15,0,0,6,4,1,1,6,5,6,1,4,6,1,5,5,5,5,5,5,6,3,5,6,1,1,6,6,1,6,1,1
203112,"Acy, Quincy",BKN,Month,November,10,4,6,0.4,205.781666667,13,53,0.245,9,39,0.231,18,22,0.818,7,41,48,11,8,4,3,3,21,24,53,12,0,0,3,3,3,2,3,4,3,6,5,3,6,1,1,2,3,3,3,2,4,3,3,5,4,1,3,2,3,1,1
203112,"Acy, Quincy",BKN,Month,December,15,5,10,0.333,269.855,31,86,0.36,22,63,0.349,13,16,0.813,9,50,59,7,15,4,3,2,26,23,97,-6,0,0,2,2,5,5,2,1,1,3,2,2,3,2,2,3,2,2,2,4,2,3,3,2,5,2,1,4,2,1,1
203112,"Acy, Quincy",BKN,Month,January,16,6,10,0.375,369.913333333,28,84,0.333,23,68,0.338,9,12,0.75,12,58,70,8,17,8,10,2,37,17,88,-50,0,0,1,1,5,3,1,2,2,4,1,1,4,3,3,4,1,1,1,3,1,2,1,2,6,3,2,6,1,1,1
203112,"Acy, Quincy",BKN,Month,February,8,1,7,0.125,184.923333333,12,41,0.293,9,35,0.257,6,6,1.0,6,22,28,18,8,10,3,3,17,7,39,-35,0,0,4,6,4,6,4,5,4,5,5,4,5,4,4,1,4,4,4,1,4,1,3,5,2,4,5,5,4,1,1
203112,"Acy, Quincy",BKN,Month,March,8,3,5,0.375,109.715,14,36,0.389,12,31,0.387,0,0,0.0,2,11,13,7,1,1,6,2,18,4,40,1,0,0,4,4,2,3,5,3,5,2,3,5,2,5,5,5,5,6,6,4,6,6,2,2,3,5,4,3,5,1,1
