Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Transition,New York Knicks,"Trey, Burke",G,7,2,4.0,4,2,2,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Transition,Philadelphia 76ers,"James, Young",G-F,5,3,20.0,2,0,1,0.66666698455811,0,0,0.0,0.0,66.666666666667,0.0,66.666666666667,0.0,66.666666666667
Transition,Chicago Bulls,"Ryan, Arcidiacono",G,6,1,12.5,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transition,Milwaukee Bucks,"Sterling, Brown",G,23,31,31.313100814819,28,10,25,0.90322601795197,71,295,40.0,48.0,9.6774193548387,12.903225806452,9.6774193548387,3.2258064516129,38.709677419355
Transition,Memphis Grizzlies,"Myke, Henry",,5,9,26.470600128174,1,0,5,0.11111100018024,0,0,0.0,0.0,11.111111111111,33.333333333333,11.111111111111,0.0,11.111111111111
Transition,Los Angeles Lakers,"Alex, Caruso",G,18,10,16.128999710083,12,5,7,1.2000000476837,256,105,71.428571428571,78.571428571429,20.0,20.0,10.0,10.0,60.0
Transition,Phoenix Suns,"Alec, Peters",F,6,5,26.315799713135,2,1,5,0.40000000596046,0,0,20.0,20.0,0.0,0.0,0.0,0.0,20.0
Transition,Chicago Bulls,"Zach, Lavine",G,8,22,18.032800674438,19,7,16,0.8636360168457,47,319,43.75,46.875,18.181818181818,18.181818181818,18.181818181818,9.0909090909091,40.909090909091
Transition,Brooklyn Nets,"Milton, Doyle",G,6,3,10.344799995422,5,2,3,1.6666699647903,0,0,66.666666666667,83.333333333333,33.333333333333,0.0,33.333333333333,33.333333333333,66.666666666667
Transition,Los Angeles Clippers,"Tyrone, Wallace",G,13,48,29.81369972229,48,19,36,1.0,115,229,52.777777777778,54.166666666667,16.666666666667,10.416666666667,14.583333333333,2.0833333333333,52.083333333333
Transition,Detroit Pistons,"Dwight, Buycks",G,14,19,15.199999809265,21,10,16,1.105260014534,203,162,62.5,65.625,0.0,15.789473684211,0.0,0.0,52.631578947368
Transition,Cleveland Cavaliers,"Isaiah, Thomas",G,11,31,15.816300392151,26,8,26,0.83871001005173,42,324,30.769230769231,40.384615384615,9.6774193548387,6.4516129032258,9.6774193548387,0.0,35.483870967742
