Playtype,Team,Player,P,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Isolation,Cleveland Cavaliers,"Isaiah, Thomas",G,4,1,3.7037000656128,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Isolation,Miami Heat,"Derrick, Jones Jr.",,4,2,5.8823499679565,5,2,2,2.5,0,0,100.0,125.0,0.0,0.0,0.0,0.0,100.0
Isolation,Los Angeles Lakers,"Tyler, Ennis",G,22,10,10.100999832153,12,5,8,1.2000000476837,32,284,62.5,62.5,20.0,10.0,10.0,10.0,60.0
Isolation,Brooklyn Nets,"Jahlil, Okafor",C,5,1,2.2222199440002,2,1,1,2.0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Isolation,Los Angeles Clippers,"Tyrone, Wallace",G,4,3,7.8947401046753,3,1,2,1.0,0,0,50.0,50.0,33.333333333333,0.0,33.333333333333,0.0,66.666666666667
Isolation,Detroit Pistons,"Dwight, Buycks",G,8,2,4.5454502105713,3,1,2,1.5,0,0,50.0,50.0,50.0,0.0,50.0,50.0,50.0
Isolation,Sacramento Kings,"Malachi, Richardson",G,22,2,2.35294008255,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isolation,Memphis Grizzlies,"Wayne, Selden",G,6,4,16.0,4,1,3,1.0,0,0,33.333333333333,33.333333333333,25.0,0.0,25.0,0.0,50.0
Isolation,Houston Rockets,"Gerald, Green",G-F,8,14,23.728799819946,17,5,11,1.21429002285,29,291,45.454545454545,59.090909090909,14.285714285714,7.1428571428571,14.285714285714,0.0,50.0
Isolation,Brooklyn Nets,"Nik, Stauskas",G,13,2,2.8571400642395,2,1,1,1.0,0,0,100.0,100.0,0.0,50.0,0.0,0.0,50.0
Isolation,Orlando Magic,"Jamel, Artis",G,5,4,26.666700363159,2,1,4,0.5,0,0,25.0,25.0,0.0,0.0,0.0,0.0,25.0
Isolation,Denver Nuggets,"Torrey, Craig",G-F,15,13,14.28569984436,5,1,10,0.38461500406265,316,4,10.0,10.0,15.384615384615,7.6923076923077,15.384615384615,0.0,23.076923076923
Isolation,Phoenix Suns,"Danuel, House",G,9,3,6.5217399597168,3,1,2,1.0,0,0,50.0,75.0,0.0,33.333333333333,0.0,0.0,33.333333333333
Isolation,Phoenix Suns,"Isaiah, Canaan",,10,6,7.7922101020813,6,3,5,1.0,0,0,60.0,60.0,0.0,16.666666666667,0.0,0.0,50.0
Isolation,Miami Heat,"Jordan, Mickey",F,16,7,6.6037697792053,8,2,5,1.1428600549698,0,0,40.0,40.0,28.571428571429,0.0,28.571428571429,0.0,57.142857142857
Isolation,Memphis Grizzlies,"Kobi, Simmons",G,11,5,8.6206903457642,3,0,2,0.60000002384186,0,0,0.0,0.0,40.0,20.0,40.0,0.0,40.0
Isolation,San Antonio Spurs,"Davis, Bertans",F,39,25,14.534899711609,14,5,22,0.56000000238419,300,20,22.727272727273,22.727272727273,12.0,4.0,12.0,4.0,28.0
Isolation,Portland Trail Blazers,"Zach, Collins",C-F,25,14,9.2105302810669,14,5,12,1.0,90,210,41.666666666667,45.833333333333,14.285714285714,7.1428571428571,14.285714285714,7.1428571428571,42.857142857143
Isolation,Golden State Warriors,"Quinn, Cook",,10,1,2.5,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isolation,Los Angeles Clippers,"C.J., Williams",G,28,16,8.1218299865723,13,4,12,0.8125,219,101,33.333333333333,37.5,18.75,12.5,12.5,6.25,37.5
Isolation,Orlando Magic,"Wesley, Iwundu",F,24,11,9.6491203308105,8,3,9,0.72727298736572,261,59,33.333333333333,33.333333333333,18.181818181818,0.0,9.0909090909091,0.0,45.454545454545
Isolation,Denver Nuggets,"Malik, Beasley",G,36,5,5.6179800033569,2,0,4,0.40000000596046,0,0,0.0,0.0,20.0,0.0,20.0,0.0,20.0
Isolation,Atlanta Hawks,"Miles, Plumlee",C,22,5,2.7026998996735,4,1,4,0.80000001192093,0,0,25.0,37.5,20.0,0.0,20.0,0.0,40.0
Isolation,San Antonio Spurs,"Kawhi, Leonard",F-G,8,4,8.1632699966431,8,3,3,2.0,0,0,100.0,116.66666666667,25.0,0.0,25.0,0.0,100.0
Isolation,Chicago Bulls,"Nikola, Mirotic",F,17,24,15.094300270081,21,9,23,0.875,169,149,39.130434782609,41.304347826087,4.1666666666667,0.0,4.1666666666667,0.0,41.666666666667
Isolation,Oklahoma City Thunder,"Kyle, Singler",G,3,1,7.6923098564148,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isolation,Utah Jazz,"Royce, ONeale",F,27,16,16.666700363159,11,3,11,0.6875,270,47,27.272727272727,27.272727272727,18.75,12.5,12.5,0.0,37.5
Isolation,Los Angeles Clippers,"Jamil, Wilson",F,15,11,10.576899528503,9,4,11,0.81818199157715,212,104,36.363636363636,40.909090909091,9.0909090909091,0.0,9.0909090909091,9.0909090909091,36.363636363636
Isolation,Sacramento Kings,"JaKarr, Sampson",F,6,4,9.0909099578857,6,2,4,1.5,0,0,50.0,62.5,25.0,0.0,25.0,25.0,50.0
Isolation,Atlanta Hawks,"Tyler, Cavanaugh",F,29,16,10.0,9,4,12,0.5625,299,21,33.333333333333,33.333333333333,6.25,25.0,6.25,6.25,25.0
Isolation,Portland Trail Blazers,"Meyers, Leonard",C,13,3,4.1095900535583,2,1,3,0.66666698455811,0,0,33.333333333333,33.333333333333,33.333333333333,0.0,33.333333333333,33.333333333333,33.333333333333
Isolation,Milwaukee Bucks,"Jason, Terry",G,11,4,19.04759979248,3,1,3,0.75,0,0,33.333333333333,50.0,0.0,25.0,0.0,0.0,25.0
Isolation,Los Angeles Clippers,"Montrezl, Harrell",F,34,24,12.060299873352,23,9,18,0.95833301544189,122,198,50.0,55.555555555556,8.3333333333333,16.666666666667,8.3333333333333,0.0,45.833333333333
Isolation,Denver Nuggets,"Trey, Lyles",F,37,34,14.529899597168,37,15,31,1.0882400274277,62,258,48.387096774194,54.838709677419,8.8235294117647,2.9411764705882,5.8823529411765,2.9411764705882,50.0
Isolation,Los Angeles Clippers,"Sam, Dekker",F,36,34,18.78450012207,36,13,29,1.0588200092316,73,246,44.827586206897,51.724137931034,11.764705882353,5.8823529411765,8.8235294117647,2.9411764705882,47.058823529412
Isolation,San Antonio Spurs,"Tony, Parker",G,17,4,4.3478298187256,3,0,2,0.75,0,0,0.0,0.0,25.0,25.0,25.0,0.0,25.0
Isolation,Brooklyn Nets,"Isaiah, Whitehead",G,11,3,4.6153798103333,2,1,3,0.66666698455811,0,0,33.333333333333,33.333333333333,0.0,0.0,0.0,0.0,33.333333333333
Isolation,Brooklyn Nets,"Sean, Kilpatrick",G,16,2,4.7618999481201,3,1,2,1.5,0,0,50.0,75.0,0.0,0.0,0.0,0.0,50.0
Isolation,Memphis Grizzlies,"Deyonta, Davis",F,27,10,7.0921998023987,4,0,7,0.40000000596046,314,6,0.0,0.0,20.0,10.0,20.0,0.0,20.0
Isolation,Toronto Raptors,"Lorenzo, Brown",G,4,1,6.25,0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isolation,Houston Rockets,"Chris, Paul",G,23,18,7.4074101448059,19,9,18,1.0555599927902,75,245,50.0,52.777777777778,0.0,0.0,0.0,0.0,50.0
Isolation,New York Knicks,"Guillermo, Hernangomez",C,16,8,9.7560997009277,2,0,7,0.25,0,0,0.0,0.0,12.5,0.0,0.0,0.0,12.5
