RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SF",OKC,74,36.8,4.53,2.85,7.38,18.33
2,"James Harden, PG",HOU,75,37.0,7.32,-0.16,7.16,17.01
3,"Giannis Antetokounmpo, PF",MIL,70,32.8,3.34,2.85,6.19,13.83
4,"Nikola Jokic, C",DEN,77,31.4,4.20,1.90,6.10,13.47
5,"Stephen Curry, PG",GS,65,34.3,5.75,0.28,6.03,13.14
6,"Anthony Davis, PF",NO,56,33.0,2.74,3.00,5.74,10.81
7,"LeBron James, SF",LAL,55,35.2,3.76,1.70,5.46,11.07
8,"Nikola Vucevic, C",ORL,78,31.4,1.78,3.58,5.36,12.79
9,"Kevin Durant, SF",GS,74,35.0,4.29,0.83,5.12,13.61
10,"Damian Lillard, PG",POR,77,35.4,5.74,-0.68,5.06,13.55
11,"Rudy Gobert, C",UTAH,78,31.8,0.31,4.50,4.81,12.48
12,"Jrue Holiday, PG",NO,67,35.9,3.58,1.17,4.75,12.50
13,"Kyrie Irving, PG",BOS,65,33.1,3.98,0.61,4.59,10.19
14,"Paul Millsap, PF",DEN,67,27.0,1.44,3.04,4.48,8.36
15,"Danny Green, SG",TOR,77,27.8,2.17,2.30,4.47,10.23
16,"Joel Embiid, C",PHI,62,33.7,2.22,2.17,4.39,9.84
17,"Kyle Lowry, PG",TOR,63,33.9,3.07,1.15,4.22,9.72
18,"Jimmy Butler, SG",MIN/PHI,64,33.9,2.67,1.47,4.14,9.93
19,"Pascal Siakam, PF",TOR,77,32.0,1.86,2.28,4.14,11.18
20,"Jusuf Nurkic, C",POR,72,27.4,0.76,3.36,4.12,8.99
21,"Chris Paul, PG",HOU,55,32.2,2.39,1.59,3.98,7.59
22,"Karl-Anthony Towns, C",MIN,75,33.1,3.02,0.84,3.86,10.83
23,"Al Horford, C",BOS,66,29.1,1.48,2.18,3.66,7.99
24,"Brook Lopez, C",MIL,78,28.7,0.27,3.39,3.66,9.85
25,"Mike Conley, PG",MEM,70,33.5,4.20,-0.63,3.57,9.84
26,"Danilo Gallinari, SF",LAC,66,30.3,3.42,-0.11,3.31,7.97
27,"Eric Bledsoe, PG",MIL,75,29.5,2.61,0.69,3.30,9.28
28,"Kevon Looney, C",GS,75,18.9,1.28,2.02,3.30,5.76
29,"Joe Ingles, SF",UTAH,78,31.5,1.60,1.50,3.10,9.62
30,"Marc Gasol, C",TOR/MEM,76,30.9,0.49,2.54,3.03,8.67
31,"Blake Griffin, PF",DET,72,35.2,2.53,0.44,2.97,9.42
32,"Marcus Smart, PG",BOS,78,27.6,1.14,1.71,2.85,7.85
33,"Andre Drummond, C",DET,75,33.5,0.67,2.15,2.82,8.76
34,"Russell Westbrook, PG",OKC,69,36.0,2.46,0.30,2.76,9.45
35,"Davis Bertans, SF",SA,73,21.5,2.30,0.46,2.76,5.81
36,"Derrick Favors, PF",UTAH,75,23.3,-0.14,2.89,2.75,6.61
37,"Kawhi Leonard, SF",TOR,57,34.2,2.79,-0.08,2.71,7.02
38,"Robert Covington, SF",MIN/PHI,35,34.4,-0.84,3.50,2.66,4.31
39,"Kemba Walker, PG",CHA,78,34.8,3.95,-1.30,2.65,9.73
