RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,29,16.3,-1.08,0.82,-0.26,0.79
2,"Jamal Crawford, SG",MIN,48,18.8,-0.20,-3.98,-4.18,-0.58
3,"Manu Ginobili, SG",SA,37,20.5,0.30,-0.73,-0.43,1.29
4,"Dirk Nowitzki, PF",DAL,48,24.9,1.75,0.42,2.17,3.95
5,"Jason Terry, SG",MIL,17,9.8,-2.32,-0.32,-2.64,0.05
6,"Tyson Chandler, C",PHX,36,25.3,-2.09,2.25,0.16,1.92
7,"Pau Gasol, C",SA,47,25.5,-0.44,2.75,2.31,3.98
8,"Richard Jefferson, SF",DEN,15,8.9,-2.18,-0.13,-2.31,0.07
9,"Joe Johnson, SG",UTAH,27,22.1,-3.40,-1.21,-4.61,-0.53
10,"Tony Parker, PG",SA,24,21.5,-1.99,-0.44,-2.43,0.21
11,"Zach Randolph, PF",SAC,40,25.1,-0.93,-1.37,-2.30,0.51
12,"Nene Hilario, C",HOU,30,15.0,-0.22,2.39,2.17,1.60
13,"LeBron James, SF",CLE,46,36.9,4.74,-0.74,4.00,7.56
14,"Carmelo Anthony, PF",OKC,46,32.6,1.42,-0.39,1.03,3.84
15,"Nick Collison, PF",OKC,8,5.5,-1.33,1.75,0.42,0.10
16,"Dwyane Wade, SG",CLE,42,23.1,-0.93,0.62,-0.31,1.75
17,"Kyle Korver, SG",CLE,46,21.8,2.14,-0.70,1.44,2.89
18,"Zaza Pachulia, C",GS,38,14.6,-0.11,2.91,2.80,2.18
19,"David West, PF",GS,46,13.3,-0.09,3.73,3.64,2.56
20,"Udonis Haslem, PF",MIA,8,5.6,-1.76,1.34,-0.42,0.07
21,"Tony Allen, SG",NO,22,12.4,-2.05,0.37,-1.68,0.26
22,"Devin Harris, PG",DAL,40,18.3,0.38,0.12,0.50,1.68
23,"Dwight Howard, C",CHA,46,30.6,-1.81,2.52,0.71,3.37
24,"Andre Iguodala, SF",GS,40,25.7,-1.98,1.06,-0.92,1.46
25,"Al Jefferson, C",IND,21,14.4,-1.69,1.19,-0.50,0.46
26,"Shaun Livingston, PG",GS,41,15.8,-1.01,0.13,-0.88,0.93
27,"Trevor Ariza, SF",HOU,42,35.9,1.66,-0.08,1.58,4.53
28,"Luol Deng, SF",LAL,1,13.0,-1.74,0.38,-1.36,0.02
29,"Jameer Nelson, PG",NO,40,21.5,-1.55,-2.06,-3.61,-0.26
30,"JR Smith, SG",CLE,45,29.7,-0.66,-1.74,-2.40,0.61
31,"Damien Wilkins, SG",IND,19,8.0,-1.79,0.06,-1.73,0.11
32,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
33,"Raymond Felton, PG",OKC,47,17.1,-0.71,-0.67,-1.38,0.85
34,"Channing Frye, PF",CLE,37,11.4,0.13,0.92,1.05,1.14
35,"Marcin Gortat, C",WSH,47,26.8,-2.07,1.46,-0.61,2.03
36,"Gerald Green, SG",HOU,11,24.6,-0.04,-0.64,-0.68,0.42
37,"Ersan Ilyasova, PF",ATL,36,25.7,0.30,0.08,0.38,2.01
