RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Vince Carter, SG",SAC,47,17.7,-0.86,1.05,0.19,1.73
2,"Jamal Crawford, SG",MIN,69,19.9,0.12,-5.11,-4.99,-1.55
3,"Manu Ginobili, SG",SA,54,20.1,0.11,-1.78,-1.67,0.97
4,"Dirk Nowitzki, C",DAL,69,24.9,1.72,0.21,1.93,5.33
5,"Jason Terry, SG",MIL,38,14.3,-1.79,-0.12,-1.91,0.41
6,"Tyson Chandler, C",PHX,46,25.0,-2.15,2.19,0.04,2.36
7,"Pau Gasol, C",SA,65,24.5,-1.08,2.72,1.64,4.68
8,"Richard Jefferson, SF",DEN,19,8.4,-2.24,0.12,-2.12,0.10
9,"Joe Johnson, SG",HOU/UTAH,43,22.0,-3.16,-0.89,-4.05,-0.38
10,"Tony Parker, PG",SA,43,20.4,-1.49,-1.19,-2.68,0.24
11,"Zach Randolph, PF",SAC,58,25.7,-0.50,-1.67,-2.17,0.88
12,"Nene Hilario, C",HOU,47,14.5,-0.64,2.80,2.16,2.36
13,"LeBron James, SF",CLE,69,37.1,4.98,-1.02,3.96,11.34
14,"Carmelo Anthony, PF",OKC,68,32.2,0.65,-1.00,-0.35,3.78
15,"Nick Collison, PF",OKC,13,5.5,-1.80,1.60,-0.20,0.14
16,"Dwyane Wade, SG",CLE/MIA,58,23.1,-1.15,0.45,-0.70,2.11
17,"Kyle Korver, SG",CLE,68,21.7,2.07,0.44,2.51,5.28
18,"Zaza Pachulia, C",GS,59,14.6,0.35,2.50,2.85,3.35
19,"David West, PF",GS,61,13.7,-0.56,4.88,4.32,3.82
20,"Udonis Haslem, PF",MIA,12,5.1,-2.28,1.38,-0.90,0.08
21,"Tony Allen, SG",NO,22,12.4,-2.13,0.43,-1.70,0.26
22,"Devin Harris, PG",DAL/DEN,59,18.2,0.61,-0.09,0.52,2.41
23,"Dwight Howard, C",CHA,70,30.5,-1.26,1.93,0.67,5.07
24,"Andre Iguodala, SF",GS,58,25.6,-1.30,1.67,0.37,3.27
25,"Al Jefferson, C",IND,32,13.9,-1.52,1.10,-0.42,0.67
26,"Shaun Livingston, PG",GS,61,15.8,-1.96,0.33,-1.63,0.91
27,"Emeka Okafor, C",NO,16,16.4,-1.84,1.11,-0.73,0.01
28,"Trevor Ariza, SF",HOU,57,34.5,1.01,0.36,1.37,5.46
29,"Luol Deng, SF",LAL,1,13.0,-1.91,0.63,-1.28,0.02
30,"Jameer Nelson, PG",NO/DET,50,20.3,-2.55,-2.75,-5.30,-1.38
31,"JR Smith, SG",CLE,67,28.9,-0.09,-2.12,-2.21,1.11
32,"Damien Wilkins, SG",IND,19,8.0,-1.79,0.06,-1.73,0.11
33,"Andrew Bogut, C",LAL,24,9.0,-2.18,2.31,0.13,0.47
34,"Raymond Felton, PG",OKC,72,16.9,-0.29,-0.81,-1.10,1.44
35,"Channing Frye, PF",CLE/LAL,45,12.4,-0.10,0.88,0.78,1.42
36,"Marcin Gortat, C",WSH,70,25.5,-2.70,1.84,-0.86,2.53
37,"Gerald Green, SG",HOU,29,21.3,-0.16,-0.32,-0.48,1.01
38,"Ersan Ilyasova, PF",ATL/PHI,55,25.0,0.62,0.30,0.92,3.03
39,"Jarrett Jack, PG",NY,58,25.6,-0.62,-0.32,-0.94,2.05
40,"Amir Johnson, C",PHI,61,15.2,-1.83,2.30,0.47,2.19
41,"Ian Mahinmi, C",WSH,67,14.9,-1.70,1.14,-0.56,1.61
42,"CJ Miles, SF",TOR,60,18.9,1.97,-1.06,0.91,2.75
43,"Chris Paul, PG",HOU,52,31.9,5.58,1.92,7.50,10.45
44,"Marvin Williams, PF",CHA,66,25.7,0.02,0.57,0.59,3.97
45,"Lou Williams, SG",LAC,68,32.8,4.41,-3.76,0.65,5.34
46,"Jose Calderon, PG",CLE,46,15.3,-0.19,0.14,-0.05,1.29
47,"LaMarcus Aldridge, PF",SA,63,33.5,1.45,0.69,2.14,6.70
48,"Rudy Gay, SF",SA,45,21.7,-0.97,1.22,0.25,2.03
49,"Kyle Lowry, PG",TOR,66,32.0,3.94,1.01,4.95,10.87
