RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"Paul George, SF",OKC,63,36.6,4.72,3.06,7.78,16.06
2,"James Harden, PG",HOU,63,37.3,7.12,-0.15,6.97,14.13
3,"Nikola Jokic, C",DEN,64,31.5,4.68,1.66,6.34,11.78
4,"Anthony Davis, PF",NO,52,33.9,2.99,2.89,5.88,10.48
5,"Giannis Antetokounmpo, PF",MIL,62,33.0,3.16,2.67,5.83,11.91
6,"LeBron James, SF",LAL,48,35.4,3.69,1.83,5.52,9.77
7,"Nikola Vucevic, C",ORL,67,31.3,1.94,3.48,5.42,11.34
8,"Kevin Durant, SF",GS,65,35.4,4.47,0.94,5.41,12.68
9,"Kyrie Irving, PG",BOS,56,32.8,4.13,0.83,4.96,9.10
10,"Stephen Curry, PG",GS,55,34.4,5.29,-0.48,4.81,9.88
11,"Jrue Holiday, PG",NO,67,35.9,3.72,1.03,4.75,12.50
12,"Kyle Lowry, PG",TOR,56,34.7,3.32,1.36,4.68,9.49
13,"Rudy Gobert, C",UTAH,66,31.8,0.28,4.23,4.51,10.34
14,"Damian Lillard, PG",POR,65,35.4,5.35,-0.86,4.49,10.89
15,"Jusuf Nurkic, C",POR,65,27.3,0.85,3.63,4.48,8.50
16,"Joel Embiid, C",PHI,55,33.6,2.08,2.34,4.42,8.63
17,"Karl-Anthony Towns, C",MIN,64,33.2,3.19,1.12,4.31,10.16
18,"Paul Millsap, PF",DEN,54,26.4,0.96,3.29,4.25,6.52
19,"Mike Conley, PG",MEM,64,33.3,4.10,0.06,4.16,9.72
20,"Jimmy Butler, SG",MIN/PHI,55,33.6,2.42,1.60,4.02,8.38
21,"Eric Bledsoe, PG",MIL,65,29.2,2.89,1.12,4.01,8.94
22,"Danny Green, SG",TOR,66,28.2,1.72,2.17,3.89,8.37
23,"Pascal Siakam, PF",TOR,67,31.8,2.00,1.79,3.79,9.35
24,"Chris Paul, PG",HOU,44,32.5,2.25,1.37,3.62,5.88
25,"Brook Lopez, C",MIL,67,28.3,0.16,3.36,3.52,8.24
26,"Marcus Smart, PG",BOS,67,27.4,1.46,1.87,3.33,7.23
27,"Blake Griffin, PF",DET,64,35.5,2.91,0.25,3.16,8.58
28,"Joe Ingles, SF",UTAH,66,31.7,1.36,1.74,3.10,8.32
29,"Kevon Looney, C",GS,64,19.8,0.91,2.18,3.09,5.05
30,"Daniel Theis, PF",BOS,54,14.2,0.77,2.29,3.06,2.86
31,"Al Horford, C",BOS,58,28.7,1.16,1.89,3.05,6.39
32,"Rudy Gay, SF",SA,55,27.1,0.66,2.27,2.93,5.67
33,"Danilo Gallinari, SF",LAC,57,30.4,2.96,-0.09,2.87,6.47
34,"Nemanja Bjelica, PF",SAC,62,23.4,0.86,1.91,2.77,5.49
35,"Robert Covington, SF",MIN/PHI,35,34.4,-0.71,3.38,2.67,4.31
36,"Kawhi Leonard, SF",TOR,49,34.3,2.98,-0.32,2.66,6.12
37,"Kemba Walker, PG",CHA,67,34.9,3.87,-1.24,2.63,8.41
38,"Marc Gasol, C",TOR/MEM,65,31.7,0.42,2.12,2.54,7.06
39,"Ed Davis, PF",BKN,68,18.1,-1.73,4.27,2.54,4.35
40,"Derrick Favors, PF",UTAH,65,23.4,-0.40,2.92,2.52,5.50
41,"Dwight Powell, PF",DAL,62,19.6,2.21,0.20,2.41,4.24
42,"Andre Drummond, C",DET,63,33.1,0.13,2.27,2.40,6.89
43,"Andre Iguodala, SG",GS,58,23.6,0.18,2.21,2.39,4.72
44,"Russell Westbrook, PG",OKC,59,35.8,2.49,-0.11,2.38,7.50
45,"Davis Bertans, SF",SA,61,21.5,2.15,0.23,2.38,4.68
46,"Thaddeus Young, PF",IND,67,30.6,1.16,1.13,2.29,6.86
47,"De'Aaron Fox, PG",SAC,65,31.8,1.49,0.79,2.28,7.40
48,"Patrick Beverley, PG",LAC,68,27.4,0.88,1.38,2.26,6.24
49,"Victor Oladipo, SG",IND,36,31.9,1.00,1.18,2.18,3.71
50,"Draymond Green, PF",GS,51,31.2,-1.06,3.19,2.13,5.35
51,"Monte Morris, PG",DEN,65,24.2,2.08,0.02,2.10,5.08
52,"Josh Richardson, SG",MIA,64,34.8,1.79,0.29,2.08,7.22
53,"Hassan Whiteside, C",MIA,57,24.9,-1.84,3.88,2.04,4.60
54,"Al-Farouq Aminu, PF",POR,66,28.9,0.59,1.40,1.99,6.04
55,"Nerlens Noel, PF",OKC,63,14.2,-2.22,4.20,1.98,2.89
56,"Domantas Sabonis, PF",IND,60,24.8,0.86,1.05,1.91,4.64
57,"Nikola Mirotic, PF",NO/MIL,42,27.2,0.91,0.99,1.90,3.85
58,"Malcolm Brogdon, PG",MIL,62,29.1,1.98,-0.08,1.90,5.87
59,"Boban Marjanovic, C",LAC/PHI,43,11.5,-0.88,2.67,1.79,1.57
60,"Nene Hilario, C",HOU,35,13.1,-1.68,3.44,1.76,1.37
61,"Kelly Olynyk, PF",MIA,63,22.0,0.77,0.99,1.76,4.25
62,"DeAndre Jordan, C",DAL/NY,61,30.1,-2.29,4.03,1.74,5.74
63,"Khris Middleton, SF",MIL,64,31.2,1.23,0.39,1.62,6.17
64,"Derrick White, PG",SA,52,25.7,0.09,1.49,1.58,4.00
65,"Jerami Grant, SF",OKC,65,32.4,-0.08,1.64,1.56,6.34
66,"JJ Redick, SG",PHI,63,31.3,1.87,-0.36,1.51,5.83
67,"Justise Winslow, SF",MIA,59,29.8,0.13,1.35,1.48,5.04
68,"Jonas Valanciunas, C",TOR/MEM,40,20.5,-0.93,2.40,1.47,2.50
69,"Mason Plumlee, PF",DEN,65,20.5,-0.13,1.58,1.45,3.79
70,"Luka Doncic, SF",DAL,62,32.2,2.55,-1.10,1.45,5.88
71,"Darren Collison, PG",IND,67,28.3,1.50,-0.06,1.44,5.39
72,"Donovan Mitchell, SG",UTAH,62,33.8,1.49,-0.07,1.42,6.12
73,"Otto Porter Jr., SF",CHI/WSH,53,30.1,1.15,0.26,1.41,4.51
74,"Willie Cauley-Stein, C",SAC,66,27.9,-0.69,2.08,1.39,5.46
75,"Bradley Beal, SG",WSH,67,37.6,3.04,-1.66,1.38,7.00
76,"Fred VanVleet, PG",TOR,51,26.8,1.16,0.16,1.32,3.88
77,"Ben Simmons, PG",PHI,66,34.3,0.71,0.60,1.31,6.37
