RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
1,"LeBron James, SF",LAL,32,35.0,5.10,4.66,9.75,7.71
2,"James Harden, SG",HOU,33,37.5,5.81,1.63,7.43,6.97
3,"Giannis Antetokounmpo, PF",MIL,32,30.9,5.76,1.22,6.98,5.33
4,"Kawhi Leonard, SF",LAC,26,32.0,2.09,4.19,6.28,3.87
5,"Jayson Tatum, PF",BOS,31,34.2,1.37,4.51,5.89,4.59
6,"Jimmy Butler, SF",MIA,29,35.4,0.80,4.27,5.07,4.02
7,"Paul Millsap, PF",DEN,29,25.0,0.55,4.35,4.89,2.55
8,"Nikola Jokic, C",DEN,33,31.2,1.87,3.01,4.88,3.61
9,"Pascal Siakam, PF",TOR,27,36.7,2.42,2.22,4.64,3.68
10,"Dennis Schroder, PG",OKC,32,30.2,1.80,2.52,4.32,3.26
11,"Donte DiVincenzo, SG",MIL,32,22.4,1.48,2.83,4.30,2.50
12,"Khris Middleton, SF",MIL,28,28.1,3.20,0.66,3.86,2.49
13,"Will Barton, SG",DEN,31,33.1,0.39,3.31,3.70,2.83
14,"Joel Embiid, C",PHI,29,30.9,0.21,3.42,3.63,2.63
15,"Domantas Sabonis, PF",IND,32,34.1,0.14,3.46,3.60,3.09
16,"De'Anthony Melton, SG",MEM,23,16.6,2.28,1.20,3.48,1.15
17,"Christian Wood, PF",DET,30,16.0,1.87,1.60,3.47,1.37
18,"Ricky Rubio, PG",PHX,27,32.0,1.97,1.41,3.38,2.51
19,"Luka Doncic, SF",DAL,29,32.3,4.61,-1.28,3.33,2.53
20,"Terence Davis, SG",TOR,34,16.9,1.27,2.05,3.31,1.51
21,"Alex Caruso, SG",LAL,31,20.0,-0.15,3.43,3.29,1.67
22,"Damian Lillard, PG",POR,32,36.8,3.23,0.05,3.28,3.24
23,"Tobias Harris, SF",PHI,36,34.1,-0.12,3.23,3.11,3.13
24,"Rudy Gobert, C",UTAH,31,34.6,0.33,2.78,3.11,2.82
25,"Jalen Brunson, PG",DAL,33,17.8,1.49,1.55,3.04,1.46
26,"Eric Bledsoe, PG",MIL,27,26.3,2.96,0.01,2.97,1.93
27,"Montrezl Harrell, PF",LAC,34,29.1,2.30,0.65,2.95,2.53
28,"Ivica Zubac, C",LAC,35,17.4,0.46,2.49,2.95,1.52
29,"Paul George, SF",LAC,24,31.6,2.53,0.41,2.94,1.86
30,"David Nwaba, SG",BKN,20,13.4,0.39,2.52,2.91,0.68
31,"Chris Chiozza, G",WSH,10,12.3,0.19,2.71,2.90,0.31
32,"CJ McCollum, SG",POR,34,36.7,1.98,0.84,2.82,2.99
33,"Ben McLemore, SG",HOU,34,23.9,2.88,-0.22,2.66,1.90
34,"Bojan Bogdanovic, SF",UTAH,32,33.7,2.47,0.19,2.65,2.51
35,"Kris Dunn, PG",CHI,34,23.5,-1.56,4.20,2.64,1.88
36,"Dwight Powell, PF",DAL,30,26.2,0.33,2.29,2.63,1.73
37,"E'Twaun Moore, SG",NO,22,20.0,0.95,1.62,2.57,1.00
38,"Jaylen Brown, SG",BOS,27,33.6,1.60,0.96,2.56,2.02
39,"Trey Burke, PG",PHI,17,14.8,0.21,2.34,2.55,0.50
40,"Patrick Beverley, PG",LAC,29,28.9,-0.64,3.17,2.54,1.91
41,"Donovan Mitchell, SG",UTAH,33,34.9,1.25,1.28,2.53,2.58
42,"Enes Kanter, C",BOS,24,17.7,1.20,1.31,2.51,0.87
43,"Chris Paul, PG",OKC,33,31.8,0.90,1.61,2.51,2.23
44,"Marc Gasol, C",TOR,27,28.2,-0.93,3.43,2.50,1.71
45,"Richaun Holmes, PF",SAC,34,29.4,-0.32,2.82,2.50,2.07
46,"Davis Bertans, SF",WSH,28,30.0,3.77,-1.33,2.44,1.92
47,"Ben Simmons, PG",PHI,34,35.1,2.36,-0.01,2.35,2.48
48,"Shaquille Harrison, PG",CHI,20,7.8,-0.25,2.59,2.34,0.33
49,"Al Horford, C",PHI,32,30.5,-0.24,2.56,2.32,1.98
50,"Anthony Davis, PF",LAL,31,35.1,1.67,0.65,2.32,2.25
51,"Jrue Holiday, SG",NO,32,35.7,1.64,0.64,2.28,2.41
52,"Devonte' Graham, PG",CHA,36,34.8,1.17,1.11,2.28,2.38
53,"Wesley Matthews, SG",MIL,33,23.9,0.45,1.81,2.26,1.66
54,"OG Anunoby, SF",TOR,33,29.6,-0.03,2.27,2.23,1.95
55,"Jakob Poeltl, C",SA,32,18.2,1.26,0.91,2.17,1.15
56,"Kemba Walker, PG",BOS,30,32.3,3.94,-1.79,2.15,1.85
57,"Kyle Lowry, PG",TOR,23,38.0,1.94,0.14,2.09,1.66
58,"Jonathan Isaac, PF",ORL,31,30.5,-0.47,2.44,1.97,1.74
59,"Ersan Ilyasova, PF",MIL,32,17.0,1.99,-0.05,1.94,1.03
60,"Bam Adebayo, C",MIA,33,34.4,-0.67,2.58,1.91,2.03
61,"Julius Randle, PF",NY,33,32.0,-0.19,2.10,1.91,1.89
62,"Duncan Robinson, SF",MIA,33,27.2,1.05,0.83,1.88,1.59
63,"Aaron Holiday, PG",IND,32,23.4,0.57,1.31,1.87,1.28
