Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Transition,Memphis Grizzlies,47,663,13.453700065613,730,259,491,1.1010600328445,11,18,52.749490835031,60.590631364562,14.47963800905,14.932126696833,11.613876319759,3.6199095022624,49.47209653092
Transition,Detroit Pistons,46,656,13.484100341797,713,263,509,1.0868899822235,17,12,51.669941060904,59.233791748527,10.975609756098,13.871951219512,9.7560975609756,2.7439024390244,48.323170731707
Transition,Minnesota Timberwolves,51,891,16.312700271606,1018,397,686,1.1425399780273,3,26,57.871720116618,64.285714285714,11.672278338945,14.814814814815,10.549943883277,3.5914702581369,52.076318742985
Transition,Atlanta Hawks,47,714,13.880200386047,745,274,544,1.0434199571609,23,6,50.367647058824,57.536764705882,12.18487394958,14.985994397759,11.064425770308,3.3613445378151,46.918767507003
Transition,Orlando Magic,47,746,14.280200004578,817,301,577,1.0951700210571,14,15,52.166377816291,58.318890814558,14.611260053619,11.662198391421,13.672922252011,3.7533512064343,50.804289544236
Transition,New Orleans Pelicans,47,776,14.641500473022,866,323,591,1.1159800291061,8,21,54.653130287648,62.182741116751,12.757731958763,14.948453608247,10.69587628866,3.8659793814433,49.871134020619
Transition,Oklahoma City Thunder,48,663,12.961899757385,740,279,528,1.1161400079727,7,22,52.840909090909,60.606060606061,12.217194570136,12.066365007541,11.010558069382,4.0723981900452,49.47209653092
Transition,Utah Jazz,48,615,12.146900177002,679,247,460,1.1040699481964,10,19,53.695652173913,60.326086956522,13.983739837398,12.682926829268,13.008130081301,1.6260162601626,51.382113821138
Transition,Sacramento Kings,48,783,15.434700012207,858,310,571,1.0957900285721,13,16,54.290718038529,62.346760070053,14.814814814815,15.197956577267,13.665389527458,3.0651340996169,50.574712643678
Transition,Milwaukee Bucks,46,548,11.188199996948,627,224,417,1.1441600322723,2,27,53.717026378897,59.952038369305,15.875912408759,10.583941605839,13.138686131387,2.5547445255474,53.102189781022
Transition,San Antonio Spurs,50,751,14.321100234985,770,296,579,1.0253000259399,27,2,51.122625215889,57.167530224525,10.652463382157,14.380825565912,9.5872170439414,2.3968042609854,46.870838881491
Transition,Philadelphia 76ers,44,772,15.473999977112,770,270,576,0.99740898609161,29,0,46.875,53.472222222222,15.673575129534,12.953367875648,13.989637305699,3.2383419689119,46.113989637306
Transition,Portland Trail Blazers,48,711,13.755100250244,760,271,544,1.0689200162888,21,8,49.816176470588,56.801470588235,14.064697609001,11.954992967651,13.361462728551,2.6722925457103,48.804500703235
Transition,Toronto Raptors,46,778,15.324000358582,807,298,598,1.0372799634933,25,4,49.832775919732,56.270903010033,12.467866323907,12.467866323907,10.925449871465,1.9280205655527,47.686375321337
Transition,Dallas Mavericks,48,684,13.565999984741,737,270,510,1.0774899721146,20,9,52.941176470588,59.019607843137,13.59649122807,14.912280701754,12.134502923977,3.0701754385965,49.707602339181
Transition,Charlotte Hornets,46,676,13.555199623108,764,283,528,1.1301800012589,4,25,53.598484848485,60.700757575758,13.905325443787,12.721893491124,11.98224852071,4.7337278106509,50.591715976331
Transition,Indiana Pacers,48,759,14.635600090027,822,320,595,1.0829999446869,19,10,53.781512605042,60.672268907563,11.067193675889,13.570487483531,9.6179183135705,3.030303030303,49.670619235837
Transition,Los Angeles Clippers,47,784,15.033599853516,858,306,587,1.0943900346756,15,14,52.129471890971,58.432708688245,14.540816326531,12.755102040816,13.137755102041,2.1683673469388,50.892857142857
Transition,Los Angeles Lakers,47,752,14.058699607849,844,313,576,1.122339963913,5,24,54.340277777778,62.326388888889,13.297872340426,13.43085106383,11.303191489362,3.3244680851064,50.531914893617
Transition,Phoenix Suns,48,864,16.071399688721,958,352,654,1.1088000535965,9,20,53.822629969419,60.168195718654,14.00462962963,12.962962962963,12.152777777778,2.662037037037,51.157407407407
Transition,Denver Nuggets,48,768,14.941599845886,860,333,589,1.1197899580002,6,23,56.536502546689,63.412563667233,11.197916666667,15.234375,10.15625,3.125,51.041666666667
Transition,Miami Heat,48,710,14.081700325012,777,279,547,1.094370007515,16,13,51.005484460695,58.683729433272,12.957746478873,12.253521126761,11.69014084507,2.2535211267606,49.577464788732
Transition,Chicago Bulls,48,699,13.416500091553,826,306,547,1.1816899776459,0,29,55.941499085923,63.619744058501,14.020028612303,10.872675250358,13.018597997139,3.1473533619456,53.505007153076
Transition,Washington Wizards,48,830,15.8125,863,320,637,1.0397599935532,24,5,50.235478806907,55.729984301413,13.493975903614,12.530120481928,13.253012048193,3.1325301204819,48.433734939759
Transition,Brooklyn Nets,48,757,14.160099983215,775,283,577,1.0237799882889,28,1,49.046793760832,54.419410745234,13.474240422721,12.945838837517,12.417437252312,2.6420079260238,47.688243064729
Transition,New York Knicks,49,821,15.403400421143,890,330,632,1.0840400457382,18,11,52.215189873418,58.227848101266,14.129110840438,13.154689403167,13.398294762485,4.2630937880633,49.817295980512
Transition,Golden State Warriors,49,851,15.256400108337,908,340,688,1.0669800043106,22,7,49.418604651163,56.468023255814,11.515863689777,10.69330199765,11.045828437133,3.0552291421857,48.178613396005
Transition,Boston Celtics,49,738,14.014399528503,765,279,561,1.0365899801254,26,3,49.732620320856,56.417112299465,14.092140921409,13.550135501355,12.872628726287,3.6585365853659,47.289972899729
Transition,Cleveland Cavaliers,46,828,16.464500427246,909,345,653,1.0978300571442,12,17,52.833078101072,60.183767228178,10.748792270531,12.07729468599,9.9033816425121,1.6908212560386,50.12077294686
Transition,Houston Rockets,46,849,17.051599502563,988,377,678,1.1637200117111,1,28,55.604719764012,62.463126843658,12.83863368669,11.189634864547,10.95406360424,4.1224970553592,52.767962308598
Isolation,Los Angeles Lakers,47,506,9.4597101211548,474,168,408,0.93675899505615,8,21,41.176470588235,46.200980392157,12.252964426877,9.4861660079051,11.264822134387,2.3715415019763,43.083003952569
Isolation,Chicago Bulls,48,389,7.4664101600647,349,135,328,0.89717197418213,18,11,41.158536585366,44.664634146341,9.7686375321337,8.7403598971722,8.4832904884319,2.827763496144,41.645244215938
Isolation,Oklahoma City Thunder,48,453,8.8563098907471,363,131,365,0.80132400989532,28,1,35.890410958904,39.315068493151,10.596026490066,9.9337748344371,8.8300220750552,1.1037527593819,37.969094922737
Isolation,Los Angeles Clippers,47,405,7.7660598754883,410,151,325,1.0123499631882,1,28,46.461538461538,50.615384615385,15.308641975309,7.6543209876543,13.333333333333,3.2098765432099,48.148148148148
Isolation,Toronto Raptors,46,348,6.8544402122498,314,110,281,0.90229898691177,16,13,39.14590747331,42.170818505338,14.942528735632,7.4712643678161,13.218390804598,3.1609195402299,43.103448275862
Isolation,New York Knicks,49,305,5.7223300933838,225,80,255,0.73770499229431,29,0,31.372549019608,34.705882352941,11.475409836066,6.5573770491803,10.491803278689,1.6393442622951,34.754098360656
Isolation,Charlotte Hornets,46,282,5.6546998023987,268,96,237,0.95035499334335,4,25,40.506329113924,45.147679324895,12.765957446809,7.4468085106383,12.41134751773,4.2553191489362,42.198581560284
Isolation,New Orleans Pelicans,47,327,6.1698098182678,301,117,275,0.92048901319504,10,19,42.545454545455,46.181818181818,9.480122324159,7.3394495412844,8.868501529052,0.91743119266055,44.036697247706
Isolation,Portland Trail Blazers,48,322,6.2294402122498,295,109,270,0.91614902019501,12,17,40.37037037037,44.074074074074,13.04347826087,5.9006211180124,12.732919254658,2.7950310559006,43.478260869565
Isolation,Miami Heat,48,331,6.5648598670959,309,107,267,0.93353497982025,9,20,40.074906367041,43.820224719101,14.501510574018,6.9486404833837,12.084592145015,2.1148036253776,44.410876132931
Isolation,Phoenix Suns,48,292,5.4315500259399,282,104,241,0.96575301885605,2,27,43.153526970954,46.680497925311,12.328767123288,7.5342465753425,11.643835616438,2.3972602739726,45.547945205479
Isolation,Indiana Pacers,48,353,6.8067898750305,307,113,288,0.86968797445297,22,7,39.236111111111,42.708333333333,13.881019830028,7.9320113314448,13.031161473088,3.6827195467422,41.643059490085
Isolation,Utah Jazz,48,433,8.5522403717041,392,147,354,0.90531200170517,14,15,41.525423728814,44.915254237288,11.778290993072,9.4688221709007,10.623556581986,2.7713625866051,42.263279445727
