Playtype,Team,GP,Poss,Time,Points,FGM,FGA,PPP,WorsePPP,BetterPPP,FG,aFG,FT,TO,SF,PlusOne,Score
Transition,Oklahoma City Thunder,48,815,15.310899734497,906,342,623,1.1116600036621,22,7,54.895666131621,61.15569823435,13.865030674847,13.251533742331,13.128834355828,3.8036809815951,51.165644171779
Transition,Indiana Pacers,48,846,16.47200012207,940,359,653,1.1111099720001,21,8,54.977029096478,61.255742725881,12.293144208038,12.884160756501,10.992907801418,2.4822695035461,51.77304964539
Transition,Philadelphia 76ers,44,809,16.225400924683,829,304,624,1.024719953537,2,27,48.717948717949,57.211538461538,9.6415327564895,14.462299134734,8.2818294190358,1.2360939431397,45.364647713226
Transition,Toronto Raptors,46,787,15.584199905396,895,327,622,1.1372300386429,25,4,52.572347266881,59.565916398714,13.468869123253,11.054637865311,11.944091486658,3.5578144853875,51.207115628971
Transition,Orlando Magic,47,841,16.270099639893,930,357,648,1.1058299541473,19,10,55.092592592593,61.188271604938,12.604042806183,13.436385255648,11.5338882283,3.3293697978597,50.89179548157
Transition,Portland Trail Blazers,48,513,9.8767795562744,528,205,398,1.0292400121689,5,24,51.507537688442,56.155778894472,10.721247563353,13.255360623782,8.5769980506823,1.5594541910331,48.732943469786
Transition,Utah Jazz,48,676,13.372900009155,751,273,507,1.1109499931335,20,9,53.846153846154,60.650887573964,13.461538461538,14.792899408284,11.98224852071,3.4023668639053,50.147928994083
Transition,Los Angeles Clippers,47,774,14.942099571228,803,281,544,1.0374699831009,8,21,51.654411764706,56.341911764706,17.700258397933,15.245478036176,15.633074935401,3.2299741602067,50.129198966408
Transition,Milwaukee Bucks,46,898,18.696599960327,1012,365,676,1.1269500255585,23,6,53.994082840237,59.985207100592,16.258351893096,11.692650334076,15.590200445434,3.4521158129176,52.561247216036
Transition,Sacramento Kings,48,685,13.449799537659,742,287,537,1.0832099914551,13,16,53.445065176909,59.590316573557,12.262773722628,13.138686131387,11.094890510949,3.7956204379562,49.92700729927
Transition,Los Angeles Lakers,47,1069,19.82200050354,1098,424,791,1.0271300077438,4,25,53.603034134008,58.34386852086,13.470533208606,15.902712815716,12.44153414406,3.4611786716558,48.830682881197
Transition,Brooklyn Nets,48,774,14.486200332642,749,264,590,0.96770000457764,0,29,44.745762711864,52.033898305085,13.049095607235,14.341085271318,11.498708010336,3.6175710594315,43.023255813953
Transition,Atlanta Hawks,47,548,10.734600067139,586,223,426,1.0693399906158,11,18,52.347417840376,60.211267605634,9.3065693430657,14.963503649635,8.3941605839416,2.007299270073,47.992700729927
Transition,Detroit Pistons,46,754,15.275500297546,821,319,614,1.0888600349426,15,14,51.954397394137,59.771986970684,8.7533156498674,11.671087533156,7.4270557029178,1.8567639257294,48.541114058355
Transition,Chicago Bulls,48,706,13.432299613953,780,290,567,1.1048200130463,18,11,51.146384479718,58.289241622575,12.889518413598,10.764872521246,11.473087818697,3.9660056657224,49.29178470255
Transition,Minnesota Timberwolves,51,692,12.515800476074,762,285,540,1.1011600494385,17,12,52.777777777778,57.407407407407,13.728323699422,11.560693641618,12.57225433526,3.3236994219653,51.156069364162
Transition,Washington Wizards,48,785,14.998100280762,925,332,605,1.1783399581909,26,3,54.876033057851,63.223140495868,15.923566878981,10.445859872611,13.503184713376,3.5668789808917,53.12101910828
Transition,Phoenix Suns,48,896,16.61720085144,941,346,670,1.0502200126648,9,20,51.641791044776,57.014925373134,15.401785714286,13.504464285714,13.504464285714,3.6830357142857,49.330357142857
Transition,Denver Nuggets,48,769,14.528599739075,830,311,571,1.0793199539185,12,17,54.46584938704,61.821366024518,12.743823146944,15.864759427828,11.83355006502,2.8608582574772,49.544863459038
Transition,New York Knicks,49,637,11.91100025177,656,256,513,1.0298299789429,6,23,49.90253411306,55.750487329435,8.9481946624804,12.244897959184,7.5353218210361,1.883830455259,47.095761381476
Transition,Dallas Mavericks,48,526,10.520000457764,529,197,410,1.0056999921799,1,28,48.048780487805,55.975609756098,11.026615969582,13.878326996198,9.5057034220532,2.851711026616,45.057034220532
Transition,Miami Heat,48,572,11.392200469971,587,223,447,1.0262199640274,3,26,49.888143176734,55.816554809843,11.013986013986,13.986013986014,9.6153846153846,3.3216783216783,46.503496503497
Transition,Memphis Grizzlies,47,697,14.169500350952,762,283,539,1.0932600498199,16,13,52.504638218924,57.142857142857,16.212338593974,10.473457675753,15.494978479197,4.3041606886657,51.793400286944
Transition,San Antonio Spurs,50,579,10.959699630737,609,222,453,1.0518100261688,10,19,49.006622516556,56.181015452539,12.435233160622,11.226252158895,11.053540587219,2.0725388601036,47.841105354059
Transition,Charlotte Hornets,46,614,12.03689956665,736,265,484,1.1986999511719,27,2,54.752066115702,61.776859504132,16.775244299674,9.4462540716612,14.820846905537,5.0488599348534,54.397394136808
Transition,New Orleans Pelicans,47,833,16.106000900269,904,343,624,1.0852299928665,14,15,54.967948717949,61.698717948718,12.004801920768,15.486194477791,10.444177671068,2.4009603841537,50.420168067227
Transition,Golden State Warriors,49,1046,19.503999710083,1258,451,772,1.2026799917221,29,0,58.419689119171,67.810880829016,13.862332695985,15.200764818356,13.001912045889,2.9636711281071,53.346080305927
