TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PLUS_MINUS_ON,PLUS_MINUS_OFF,PLUS_MINUS_DIFF,OFF_RATING_ON,OFF_RATING_OFF,OFF_RATING_DIFF,DEF_RATING_ON,DEF_RATING_OFF,DEF_RATING_DIFF,NET_RATING_ON,NET_RATING_OFF,NET_RATING_DIFF
Atlanta Hawks,"Babbitt, Luke",26.0,29,-3.0,489.0,908.0,-419.0,-4.1,-6.3,2.2,105.2,102.2,3.0,110.9,107.0,3.9,-5.7,-4.8,-0.9
Atlanta Hawks,"Bazemore, Kent",29.0,29,0.0,830.0,567.0,263.0,-6.0,-4.9,-1.1,102.3,104.6,-2.3,107.4,109.7,-2.3,-5.1,-5.1,0.0
Atlanta Hawks,"Belinelli, Marco",29.0,29,0.0,717.0,680.0,37.0,-5.4,-5.6,0.2,102.2,104.4,-2.2,111.0,105.6,5.4,-8.7,-1.2,-7.5
Atlanta Hawks,"Bembry, DeAndre'",15.0,29,-14.0,268.0,1129.0,-861.0,-10.0,-4.5,-5.5,103.9,103.1,0.8,109.3,108.1,1.2,-5.4,-5.0,-0.4
Atlanta Hawks,"Brussino, Nicolas",4.0,29,-25.0,10.0,1387.0,-1377.0,82.3,-6.2,88.5,114.3,103.2,11.1,40.5,108.8,-68.3,73.8,-5.7,79.5
Atlanta Hawks,"Cavanaugh, Tyler",19.0,20,-1.0,262.0,703.0,-441.0,0.7,-5.7,6.4,110.0,103.3,6.7,109.8,109.2,0.6,0.2,-6.0,6.2
Atlanta Hawks,"Collins, John",23.0,29,-6.0,528.0,869.0,-341.0,-4.4,-6.2,1.8,103.0,103.4,-0.4,107.1,109.1,-2.0,-4.1,-5.7,1.6
Atlanta Hawks,"Dedmon, Dewayne",20.0,29,-9.0,487.0,910.0,-423.0,-7.7,-4.4,-3.3,101.7,104.1,-2.4,109.1,108.0,1.1,-7.4,-3.9,-3.5
Atlanta Hawks,"Delaney, Malcolm",21.0,29,-8.0,381.0,1016.0,-635.0,-9.7,-4.0,-5.7,100.2,104.3,-4.1,107.4,108.7,-1.3,-7.2,-4.4,-2.8
Atlanta Hawks,"Dorsey, Tyler",10.0,29,-19.0,63.0,1334.0,-1271.0,18.3,-6.7,25.0,105.2,103.2,2.0,91.2,109.1,-17.9,14.0,-5.9,19.9
Atlanta Hawks,"Ilyasova, Ersan",18.0,29,-11.0,416.0,981.0,-565.0,-4.6,-5.9,1.3,105.0,102.5,2.5,107.3,108.8,-1.5,-2.3,-6.3,4.0
Atlanta Hawks,"Magette, Josh",8.0,29,-21.0,64.0,1333.0,-1269.0,3.7,-6.0,9.7,95.1,103.6,-8.5,92.2,109.1,-16.9,2.9,-5.5,8.4
Atlanta Hawks,"Muscala, Mike",9.0,29,-20.0,202.0,1195.0,-993.0,-15.4,-3.9,-11.5,91.6,105.3,-13.7,106.3,108.7,-2.4,-14.8,-3.4,-11.4
Atlanta Hawks,"Plumlee, Miles",10.0,29,-19.0,158.0,1239.0,-1081.0,-1.2,-6.1,4.9,102.3,103.4,-1.1,99.2,109.5,-10.3,3.1,-6.1,9.2
Atlanta Hawks,"Prince, Taurean",29.0,29,0.0,900.0,497.0,403.0,-7.0,-2.8,-4.2,103.6,102.6,1.0,109.0,107.1,1.9,-5.4,-4.5,-0.9
Atlanta Hawks,"Schroder, Dennis",27.0,29,-2.0,862.0,535.0,327.0,-8.4,-1.0,-7.4,105.1,100.2,4.9,113.4,100.3,13.1,-8.3,0.0,-8.3
Atlanta Hawks,"Taylor, Isaiah",22.0,29,-7.0,348.0,1049.0,-701.0,2.9,-8.3,11.2,105.4,102.5,2.9,101.7,110.6,-8.9,3.7,-8.1,11.8
Boston Celtics,"Allen, Kadeem",1.0,32,-31.0,5.0,1536.0,-1531.0,9.4,5.4,4.0,96.9,105.6,-8.7,92.2,100.7,-8.5,4.7,4.9,-0.2
Boston Celtics,"Baynes, Aron",32.0,32,0.0,586.0,955.0,-369.0,7.5,4.2,3.3,102.1,107.7,-5.6,94.9,104.2,-9.3,7.2,3.5,3.7
Boston Celtics,"Bird, Jabari",3.0,32,-29.0,21.0,1520.0,-1499.0,24.7,5.2,19.5,122.0,105.3,16.7,92.9,100.8,-7.9,29.2,4.6,24.6
Boston Celtics,"Brown, Jaylen",30.0,32,-2.0,942.0,599.0,343.0,8.7,0.3,8.4,107.4,102.6,4.8,100.0,101.7,-1.7,7.4,0.9,6.5
Boston Celtics,"Hayward, Gordon",1.0,32,-31.0,5.0,1536.0,-1531.0,27.4,5.4,22.0,100.0,105.6,-5.6,87.2,100.7,-13.5,12.8,4.9,7.9
Boston Celtics,"Horford, Al",29.0,32,-3.0,949.0,592.0,357.0,11.4,-4.1,15.5,110.3,98.0,12.3,100.6,100.8,-0.2,9.7,-2.8,12.5
Boston Celtics,"Irving, Kyrie",30.0,32,-2.0,963.0,578.0,385.0,8.6,0.2,8.4,109.1,99.3,9.8,102.8,97.2,5.6,6.4,2.2,4.2
Boston Celtics,"Larkin, Shane",23.0,32,-9.0,255.0,1286.0,-1031.0,2.1,6.1,-4.0,97.7,107.1,-9.4,96.5,101.5,-5.0,1.2,5.6,-4.4
Boston Celtics,"Morris, Marcus",16.0,32,-16.0,387.0,1154.0,-767.0,-0.1,7.3,-7.4,106.2,105.4,0.8,107.6,98.4,9.2,-1.4,7.0,-8.4
Boston Celtics,"Nader, Abdel",15.0,32,-17.0,101.0,1440.0,-1339.0,-33.6,8.2,-41.8,95.4,106.3,-10.9,130.2,98.6,31.6,-34.8,7.7,-42.5
Boston Celtics,"Ojeleye, Semi",31.0,32,-1.0,440.0,1101.0,-661.0,-6.2,10.1,-16.3,100.1,107.7,-7.6,103.2,99.7,3.5,-3.0,8.0,-11.0
Boston Celtics,"Rozier, Terry",32.0,32,0.0,740.0,801.0,-61.0,2.1,8.5,-6.4,100.9,109.8,-8.9,98.6,102.6,-4.0,2.3,7.2,-4.9
Boston Celtics,"Smart, Marcus",30.0,32,-2.0,915.0,626.0,289.0,9.4,-0.4,9.8,107.6,102.5,5.1,99.0,103.2,-4.2,8.7,-0.8,9.5
Boston Celtics,"Tatum, Jayson",32.0,32,0.0,975.0,566.0,409.0,7.1,2.6,4.5,106.1,104.6,1.5,99.3,103.1,-3.8,6.8,1.5,5.3
Boston Celtics,"Theis, Daniel",30.0,32,-2.0,367.0,1174.0,-807.0,-2.2,7.9,-10.1,102.2,106.6,-4.4,101.4,100.4,1.0,0.8,6.1,-5.3
Boston Celtics,"Yabusele, Guerschon",11.0,32,-21.0,52.0,1489.0,-1437.0,-21.2,6.4,-27.6,91.8,106.0,-14.2,115.3,100.2,15.1,-23.5,5.9,-29.4
Cleveland Cavaliers,"Calderon, Jose",21.0,30,-9.0,357.0,1088.0,-731.0,-1.1,5.5,-6.6,109.5,112.3,-2.8,111.2,107.1,4.1,-1.7,5.2,-6.9
Cleveland Cavaliers,"Crowder, Jae",30.0,30,0.0,768.0,677.0,91.0,0.0,8.3,-8.3,111.2,112.1,-0.9,111.6,104.0,7.6,-0.4,8.1,-8.5
Cleveland Cavaliers,"Frye, Channing",28.0,30,-2.0,349.0,1096.0,-747.0,12.8,1.1,11.7,114.8,110.6,4.2,102.1,110.0,-7.9,12.8,0.6,12.2
Cleveland Cavaliers,"Green, Jeff",30.0,30,0.0,652.0,793.0,-141.0,6.3,1.9,4.4,111.4,111.9,-0.5,103.8,111.6,-7.8,7.6,0.2,7.4
Cleveland Cavaliers,"Holland, John",4.0,30,-26.0,17.0,1428.0,-1411.0,-33.9,4.3,-38.2,69.0,112.1,-43.1,103.8,108.1,-4.3,-34.8,4.0,-38.8
Cleveland Cavaliers,"James, LeBron",30.0,30,0.0,1117.0,328.0,789.0,4.5,1.8,2.7,114.0,103.6,10.4,109.8,102.3,7.5,4.3,1.4,2.9
Cleveland Cavaliers,"Korver, Kyle",30.0,30,0.0,678.0,767.0,-89.0,15.4,-6.3,21.7,115.1,108.5,6.6,101.6,113.8,-12.2,13.5,-5.3,18.8
Cleveland Cavaliers,"Love, Kevin",29.0,30,-1.0,851.0,594.0,257.0,1.8,6.9,-5.1,111.2,112.3,-1.1,111.7,103.0,8.7,-0.5,9.3,-9.8
Cleveland Cavaliers,"Osman, Cedi",22.0,30,-8.0,166.0,1279.0,-1113.0,2.0,4.1,-2.1,109.1,112.0,-2.9,105.0,108.4,-3.4,4.1,3.5,0.6
Cleveland Cavaliers,"Perrantes, London",1.0,30,-29.0,3.0,1442.0,-1439.0,-130.9,4.1,-135.0,50.0,111.7,-61.7,189.1,107.9,81.2,-139.1,3.8,-142.9
Cleveland Cavaliers,"Rose, Derrick",7.0,30,-23.0,188.0,1257.0,-1069.0,-13.3,6.5,-19.8,106.2,112.5,-6.3,118.8,106.4,12.4,-12.6,6.1,-18.7
