TEAM_NAME,VS_PLAYER_NAME,GP_ON,GP_OFF,GP_DIFF,MIN_ON,MIN_OFF,MIN_DIFF,PLUS_MINUS_ON,PLUS_MINUS_OFF,PLUS_MINUS_DIFF,OFF_RATING_ON,OFF_RATING_OFF,OFF_RATING_DIFF,DEF_RATING_ON,DEF_RATING_OFF,DEF_RATING_DIFF,NET_RATING_ON,NET_RATING_OFF,NET_RATING_DIFF
Atlanta Hawks,"Babbitt, Luke",20.0,23,-3.0,388.0,716.0,-328.0,-1.0,-8.5,7.5,106.9,99.7,7.2,110.1,107.0,3.1,-3.2,-7.3,4.1
Atlanta Hawks,"Bazemore, Kent",23.0,23,0.0,654.0,450.0,204.0,-8.1,-2.7,-5.4,100.1,105.5,-5.4,107.7,108.7,-1.0,-7.6,-3.3,-4.3
Atlanta Hawks,"Belinelli, Marco",23.0,23,0.0,589.0,515.0,74.0,-4.3,-7.6,3.3,102.8,101.7,1.1,110.8,105.1,5.7,-8.0,-3.4,-4.6
Atlanta Hawks,"Bembry, DeAndre'",9.0,23,-14.0,146.0,958.0,-812.0,-1.6,-6.5,4.9,106.9,101.6,5.3,107.1,108.3,-1.2,-0.2,-6.7,6.5
Atlanta Hawks,"Brussino, Nicolas",4.0,23,-19.0,10.0,1094.0,-1084.0,82.3,-6.7,89.0,114.3,102.2,12.1,40.5,108.7,-68.2,73.8,-6.5,80.3
Atlanta Hawks,"Cavanaugh, Tyler",14.0,14,0.0,153.0,519.0,-366.0,5.7,-6.7,12.4,109.9,102.7,7.2,103.0,111.5,-8.5,6.9,-8.8,15.7
Atlanta Hawks,"Collins, John",21.0,23,-2.0,484.0,620.0,-136.0,-4.4,-7.0,2.6,103.3,101.6,1.7,107.5,108.6,-1.1,-4.3,-7.0,2.7
Atlanta Hawks,"Dedmon, Dewayne",20.0,23,-3.0,487.0,617.0,-130.0,-7.7,-4.4,-3.3,101.7,102.8,-1.1,109.1,107.4,1.7,-7.4,-4.6,-2.8
Atlanta Hawks,"Delaney, Malcolm",18.0,23,-5.0,351.0,753.0,-402.0,-12.6,-2.7,-9.9,98.0,104.2,-6.2,107.9,108.2,-0.3,-9.9,-4.0,-5.9
Atlanta Hawks,"Dorsey, Tyler",8.0,23,-15.0,50.0,1054.0,-1004.0,9.5,-6.6,16.1,96.9,102.6,-5.7,91.2,108.9,-17.7,5.7,-6.3,12.0
Atlanta Hawks,"Ilyasova, Ersan",12.0,23,-11.0,249.0,855.0,-606.0,-7.1,-5.5,-1.6,99.7,103.0,-3.3,105.0,109.0,-4.0,-5.3,-6.0,0.7
Atlanta Hawks,"Magette, Josh",8.0,23,-15.0,64.0,1040.0,-976.0,3.7,-6.5,10.2,95.1,102.7,-7.6,92.2,109.1,-16.9,2.9,-6.3,9.2
Atlanta Hawks,"Muscala, Mike",9.0,23,-14.0,202.0,902.0,-700.0,-15.4,-3.7,-11.7,91.6,104.8,-13.2,106.3,108.5,-2.2,-14.8,-3.7,-11.1
Atlanta Hawks,"Plumlee, Miles",4.0,23,-19.0,54.0,1050.0,-996.0,4.5,-6.4,10.9,98.1,102.5,-4.4,95.2,108.8,-13.6,2.9,-6.2,9.1
Atlanta Hawks,"Prince, Taurean",23.0,23,0.0,704.0,400.0,304.0,-9.7,1.0,-10.7,101.6,103.5,-1.9,109.4,105.9,3.5,-7.8,-2.3,-5.5
Atlanta Hawks,"Schroder, Dennis",21.0,23,-2.0,673.0,431.0,242.0,-9.8,0.3,-10.1,104.0,99.7,4.3,114.0,99.0,15.0,-10.0,0.6,-10.6
Atlanta Hawks,"Taylor, Isaiah",16.0,23,-7.0,261.0,843.0,-582.0,7.9,-10.1,18.0,109.0,100.2,8.8,101.5,110.2,-8.7,7.5,-10.0,17.5
Boston Celtics,"Baynes, Aron",25.0,25,0.0,447.0,758.0,-311.0,7.4,7.1,0.3,99.3,109.7,-10.4,91.9,103.2,-11.3,7.4,6.5,0.9
Boston Celtics,"Bird, Jabari",2.0,25,-23.0,16.0,1189.0,-1173.0,29.4,6.9,22.5,130.2,105.6,24.6,93.0,99.2,-6.2,37.2,6.4,30.8
Boston Celtics,"Brown, Jaylen",24.0,25,-1.0,754.0,451.0,303.0,9.5,3.4,6.1,106.7,104.6,2.1,98.4,100.3,-1.9,8.3,4.3,4.0
Boston Celtics,"Hayward, Gordon",1.0,25,-24.0,5.0,1200.0,-1195.0,27.4,7.1,20.3,100.0,105.9,-5.9,87.2,99.1,-11.9,12.8,6.8,6.0
